player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sicc-Grobbulus,9/13/20,22:02:55,1600066975-28,[Firemaw's Clutch],19400,item:19400::::::::60,Offspec,1,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cffa335ee|Hitem:16818::::::::60:::::::|h[Netherwind Belt]|h|r,,2,false,Cloth,Waist,,Estaris-Grobbulus
Shagy-Grobbulus,9/13/20,22:02:06,1600066926-23,[Elementium Reinforced Bulwark],19349,item:19349::::::::60,Best in Slot,0,WARRIOR,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:19362:1900:::::::60:::::::|h[Doom's Edge]|h|r,,1,false,Shields,Off Hand,,Estaris-Grobbulus
Parabella-Grobbulus,9/13/20,23:20:39,1600071639-62,[Quick Strike Ring],18821,item:18821::::::::60,PVP,0,ROGUE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:19384::::::::60:::11::::|h[Master Dragonslayer's Ring]|h|r,|cffa335ee|Hitem:19325::::::::60:::14::::|h[Don Julio's Band]|h|r,3,false,Miscellaneous,Finger,no longer ranking*,Estaris-Grobbulus
Catzby-Grobbulus,9/13/20,22:03:23,1600067003-29,[Head of Nefarian],19003,item:19003::::::::60,Best in Slot,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,,,1,false,Quest,,,Nefarian
Hereticmie-Grobbulus,9/13/20,23:15:43,1600071343-41,[Felheart Horns],16808,item:16808::::::::60,Upgrade,0,WARLOCK,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:10041::::::::60:::::::|h[Dreamweave Circlet]|h|r,,2,false,Cloth,Head,,Estaris-Grobbulus
Hereticmie-Grobbulus,9/13/20,23:16:04,1600071364-44,[Felheart Shoulder Pads],16807,item:16807::::::::60,Upgrade,0,WARLOCK,Molten Core-40 Player,Baron Geddon,9,409,40,|cff1eff00|Hitem:10210::::::874:1657740416:60:::1::::|h[Elegant Mantle of the Eagle]|h|r,,2,false,Cloth,Shoulder,,Estaris-Grobbulus
Hereticmie-Grobbulus,9/13/20,23:16:19,1600071379-46,[Fireproof Cloak],18811,item:18811::::::::60,Upgrade,1,WARLOCK,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:11812::::::::60:::1::::|h[Cape of the Fire Salamander]|h|r,,2,false,Cloth,Back,,Estaris-Grobbulus
Hereticmie-Grobbulus,9/13/20,23:18:05,1600071485-52,[Robe of Volatile Power],19145,item:19145::::::::60,Best in Slot,0,WARLOCK,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:11924::::::::60:::1::::|h[Robes of the Royal Crown]|h|r,,1,false,Cloth,Chest,,Estaris-Grobbulus
Hereticmie-Grobbulus,9/13/20,23:18:11,1600071491-53,[Felheart Gloves],16805,item:16805::::::::60,Offspec,1,WARLOCK,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:22077::::::::60:::11::::|h[Deathmist Wraps]|h|r,,4,false,Cloth,Hands,,Estaris-Grobbulus
Hereticmie-Grobbulus,9/13/20,23:18:55,1600071535-58,[Sash of Whispered Secrets],18809,item:18809::::::::60,Upgrade,0,WARLOCK,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:16806::::::::60:::::::|h[Felheart Belt]|h|r,,2,false,Cloth,Waist,,Estaris-Grobbulus
Korsen-Grobbulus,9/13/20,22:01:24,1600066884-16,[Bracelets of Wrath],16959,item:16959::::::::60,Offspec,1,WARRIOR,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:19578:1885:::::::60:::14::::|h[Berserker Bracers]|h|r,,4,false,Plate,Wrist,,Estaris-Grobbulus
