player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sicc-Grobbulus,9/27/20,22:06:44,1601276804-16,"[Mish'undare, Circlet of the Mind Flayer]",19375,item:19375::::::::60,Best in Slot,2,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19886:2588:::::::60:::::::|h[The Hexxer's Cover]|h|r,,1,false,Cloth,Head,,Nefarian
Valearix-Grobbulus,9/27/20,22:05:24,1601276724-4,[Taut Dragonhide Shoulderpads],19389,item:19389::::::::60,PVP,0,ROGUE,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:19835:2606:::::::60:::11::::|h[Zandalar Madcap's Mantle]|h|r,,3,false,Leather,Shoulder,,Estaris-Grobbulus
Valearix-Grobbulus,9/27/20,22:08:26,1601276906-23,[Drake Fang Talisman],19406,item:19406::::::::60,Best in Slot,1,ROGUE,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cffa335ee|Hitem:19954::::::::60:::::::|h[Renataki's Charm of Trickery]|h|r,|cff0070dd|Hitem:11815::::::::60:::1::::|h[Hand of Justice]|h|r,1,false,Miscellaneous,Trinket,,Estaris-Grobbulus
Faithfortis-Grobbulus,9/27/20,23:24:57,1601281497-45,[Dragon's Blood Cape],17107,item:17107::::::::60,Upgrade,0,WARRIOR,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:22712::::::::60:::::::|h[Might of the Tribe]|h|r,,2,false,Cloth,Back,,Ragnaros
Colde-Grobbulus,9/27/20,21:32:40,1601274760-0,[Blasthorn Bow of Marksmanship],15288,item:15288::::::1712:1512315520:60,Banking,nil,DRUID,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,2,true,Bows,Ranged,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,21:39:27,1601275167-1,[High Councillor's Sash of the Whale],10144,item:10144::::::1043:210667904:60,Banking,nil,DRUID,Blackwing Lair-40 Player,Firemaw,9,469,40,,,2,true,Cloth,Waist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,21:39:32,1601275172-2,[Dragon Finger of the Falcon],15282,item:15282::::::247:1247686784:60,Banking,nil,DRUID,Blackwing Lair-40 Player,Firemaw,9,469,40,,,2,true,Wands,,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:22:51,1601277771-27,[Nightslayer Belt],16827,item:16827::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Nefarian,9,409,40,,,2,true,Leather,Waist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:24:15,1601277855-28,[High Councillor's Mantle of the Owl],10142,item:10142::::::791:180879488:60,Banking,nil,DRUID,Molten Core-40 Player,Nefarian,9,409,40,,,2,true,Cloth,Shoulder,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:37:24,1601278644-29,[High Councillor's Mantle of Shadow Wrath],10142,item:10142::::::1856:1190327808:60,Banking,nil,DRUID,Molten Core-40 Player,Magmadar,9,409,40,,,2,true,Cloth,Shoulder,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:40:07,1601278807-30,[Arcanist Belt],16802,item:16802::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Gehennas,9,409,40,,,2,true,Cloth,Waist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:43:15,1601278995-31,[Masterwork Breastplate of the Monkey],10266,item:10266::::::638:1588442112:60,Banking,nil,DRUID,Molten Core-40 Player,Gehennas,9,409,40,,,2,true,Mail,Chest,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:50:22,1601279422-32,[Cenarion Bracers],16830,item:16830::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Garr,9,409,40,,,2,true,Leather,Wrist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,22:55:24,1601279724-33,[Lawbringer Bracers],16857,item:16857::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Baron Geddon,9,409,40,,,2,true,Plate,Wrist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,23:09:13,1601280553-34,[Adventurer's Belt of the Tiger],10259,item:10259::::::705:903114880:60,Banking,nil,DRUID,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,,,2,true,Leather,Waist,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,23:09:16,1601280556-35,[Adventurer's Legguards of the Eagle],10262,item:10262::::::892:408595328:60,Banking,nil,DRUID,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,,,2,true,Leather,Legs,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,23:21:29,1601281289-36,[Sword of Zeal],6622,item:6622::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,,,2,true,One-Handed Swords,Main Hand,,Colde-Grobbulus
Colde-Grobbulus,9/27/20,23:21:30,1601281290-37,[Direwing Legguards],13075,item:13075::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,,,2,true,Plate,Legs,,Colde-Grobbulus
Tate-Grobbulus,9/27/20,22:08:40,1601276920-25,[Belt of Transcendence],16925,item:16925::::::::60,PVP,0,PRIEST,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:21582::::::::60:::::::|h[Grasp of the Old God]|h|r,,3,false,Cloth,Waist,,Estaris-Grobbulus
Catzby-Grobbulus,9/27/20,22:05:51,1601276751-9,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,Best in Slot,0,HUNTER,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:16852:1887:::::::60:::::::|h[Giantstalker's Gloves]|h|r,,1,false,Mail,Hands,,Estaris-Grobbulus
Lahk-Grobbulus,9/27/20,22:05:27,1601276727-5,[Nemesis Spaulders],16932,item:16932::::::::60,PVP,0,WARLOCK,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:21335:2605:::::::60:::11::::|h[Doomcaller's Mantle]|h|r,,3,false,Cloth,Shoulder,,Estaris-Grobbulus
Lahk-Grobbulus,9/27/20,22:06:32,1601276792-15,[Dragon's Touch],19367,item:19367::::::::60,PVP,0,WARLOCK,Blackwing Lair-40 Player,Flamegor,9,469,40,|cff0070dd|Hitem:19108::::::::60:::11::::|h[Wand of Biting Cold]|h|r,,3,false,Wands,,,Estaris-Grobbulus
Retributus-Grobbulus,9/27/20,22:08:07,1601276887-21,[Rejuvenating Gem],19395,item:19395::::::::60,Best in Slot,4,PALADIN,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:11819::::::::60:::1::::|h[Second Wind]|h|r,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,1,false,Miscellaneous,Trinket,,Estaris-Grobbulus
Kahleia-Grobbulus,9/27/20,23:24:25,1601281465-41,[Choker of the Fire Lord],18814,item:18814::::::::60,Best in Slot,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:20037::::::::60:::11::::|h[Arcane Crystal Pendant]|h|r,,1,false,Miscellaneous,Neck,,Ragnaros
