player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sicc-Grobbulus,5/20/20,23:41:04,1590050464-32,[Arcanist Robes],16798,item:16798::::::::60,Upgrade,1,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:913:::::::60:::::::|h[Robe of the Archmage]|h|r,,2,false,Cloth,Chest,,Kolde-Grobbulus
Sicc-Grobbulus,5/20/20,23:44:33,1590050673-47,[Formula: Enchant Weapon - Spell Power],18259,item:18259::::::::60,Best in Slot,3,MAGE,Molten Core-40 Player,Gehennas,9,409,40,,,1,false,Enchanting,,I am 300 Enchanting,Kolde-Grobbulus
Sicc-Grobbulus,6/10/20,22:12:28,1591859548-24,[Netherwind Belt],16818,item:16818::::::::60,Offline or RCLootCouncil not installed,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,,,2,false,Cloth,Waist,,Kolde-Grobbulus
Sicc-Grobbulus,6/10/20,22:12:33,1591859553-25,[Netherwind Boots],16912,item:16912::::::::60,Offline or RCLootCouncil not installed,0,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,2,false,Cloth,Feet,,Kolde-Grobbulus
Sicc-Grobbulus,6/10/20,23:29:00,1591864140-52,[Netherwind Pants],16915,item:16915::::::::60,Upgrade,1,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:19683::::::::60:::::::|h[Bloodvine Leggings]|h|r,,2,false,Cloth,Legs,For sec bonus,Kolde-Grobbulus
Sicc-Grobbulus,6/25/20,00:06:24,1593075984-41,[Formula: Enchant Weapon - Spell Power],18259,item:18259::::::::60,Upgrade,1,MAGE,Molten Core-40 Player,Garr,9,409,40,,,2,false,Enchanting,,,Kolde-Grobbulus
Sicc-Grobbulus,6/25/20,00:07:20,1593076040-43,[Gloves of the Hypnotic Flame],18808,item:18808::::::::60,Off Spec,3,MAGE,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:16913::::::::60:::::::|h[Netherwind Gloves]|h|r,,3,false,Cloth,Hands,,Kolde-Grobbulus
Sicc-Grobbulus,7/01/20,22:06:51,1593673611-2,[Netherwind Robes],16916,item:16916::::::::60,Upgrade,1,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19682:913:::::::60:::::::|h[Bloodvine Vest]|h|r,,2,false,Cloth,Chest,,Kolde-Grobbulus
Sicc-Grobbulus,7/01/20,22:06:55,1593673615-3,[Netherwind Mantle],16917,item:16917::::::::60,Upgrade,1,MAGE,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cff0070dd|Hitem:11782::::::::60:::1::::|h[Boreal Mantle]|h|r,,2,false,Cloth,Shoulder,,Kolde-Grobbulus
Sicc-Grobbulus,7/08/20,21:51:23,1594277483-12,[Pendant of the Fallen Dragon],19371,item:19371::::::::60,Off Spec,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19876::::::::60:::::::|h[Soul Corrupter's Necklace]|h|r,,3,false,Miscellaneous,Neck,,Kolde-Grobbulus
Sicc-Grobbulus,7/08/20,22:54:41,1594281281-49,[Arcanist Gloves],16801,item:16801::::::::60,Off Spec,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16913::::::::60:::::::|h[Netherwind Gloves]|h|r,,3,false,Cloth,Hands,,Kolde-Grobbulus
Sicc-Grobbulus,7/08/20,22:55:43,1594281343-53,[Azuresong Mageblade],17103,item:17103::::::::60,Upgrade,5,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:19864:2504:::::::60:::::::|h[Bloodcaller]|h|r,,2,false,One-Handed Swords,Main Hand,,Kolde-Grobbulus
Sicc-Grobbulus,7/08/20,22:58:24,1594281504-63,[Arcanist Crown],16795,item:16795::::::::60,Off Spec,3,MAGE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:19886::::::::60:::::::|h[The Hexxer's Cover]|h|r,,3,false,Cloth,Head,,Kolde-Grobbulus
Sicc-Grobbulus,7/15/20,23:48:22,1594889302-70,[Crimson Shocker],17077,item:17077::::::::60,Offspec/Greed,4,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:19967::::::::60:::::::|h[Thoughtblighter]|h|r,,2,false,Wands,,,Estaris-Grobbulus
Sicc-Grobbulus,7/22/20,22:49:15,1595490555-13,[Netherwind Bindings],16918,item:16918::::::::60,Offspec/Greed,2,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:19846:905:::::::60:::11::::|h[Zandalar Illusionist's Wraps]|h|r,,2,false,Cloth,Wrist,would make me 8/8,Estaris-Grobbulus
Sicc-Grobbulus,7/23/20,00:00:27,1595494827-44,[Choker of Enlightenment],17109,item:17109::::::::60,Offspec/Greed,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:19601::::::::60:::11::::|h[Jewel of Kajaro]|h|r,,2,false,Miscellaneous,Neck,,Estaris-Grobbulus
Sicc-Grobbulus,7/26/20,21:36:32,1595831792-7,[Talisman of Ephemeral Power],18820,item:18820::::::::60,Best in Slot,1,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:19950::::::::60:::11::::|h[Zandalarian Hero Charm]|h|r,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,1,false,Miscellaneous,Trinket,,Estaris-Grobbulus
Sicc-Grobbulus,8/10/20,00:08:44,1597050524-52,[Choker of the Fire Lord],18814,item:18814::::::::60,Best in Slot,2,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:17109::::::::60:::::::|h[Choker of Enlightenment]|h|r,,1,false,Miscellaneous,Neck,,Estaris-Grobbulus
Sicc-Grobbulus,8/26/20,23:32:55,1598517175-21,[Cloak of the Devoured],22731,item:22731::::::::60,Best in Slot,1,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cff0070dd|Hitem:22711:2620:::::::60:::::::|h[Cloak of the Hakkari Worshipers]|h|r,,1,false,Cloth,Back,,C'thun
Sicc-Grobbulus,8/30/20,23:11:46,1598861506-68,[Formula: Enchant Weapon - Healing Power],18260,item:18260::::::::60,Best in Slot,1,MAGE,Molten Core-40 Player,Lucifron,9,409,40,,,1,false,Enchanting,,"300 Enchanting, dont have",Estaris-Grobbulus
Sicc-Grobbulus,9/09/20,23:40:12,1599727212-30,[Husk of the Old God],20933,item:20933::::::::60,Upgrade,2,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cffa335ee|Hitem:16916:1891:::::::60:::::::|h[Netherwind Robes]|h|r,,2,false,Quest,,,Estaris-Grobbulus
Sicc-Grobbulus,9/09/20,23:40:53,1599727253-32,[Qiraji Bindings of Dominance],20932,item:20932::::::::60,Upgrade,1,MAGE,Ahn'Qiraj Temple-40 Player,Viscidus,9,531,40,|cffa335ee|Hitem:16917:2605:::::::60:::::::|h[Netherwind Mantle]|h|r,|cff0070dd|Hitem:17748::::::::60:::1::::|h[Vinerot Sandals]|h|r,2,false,Quest,,,Viscidus
Colde-Grobbulus,7/29/20,22:41:51,1596094911-7,[Taut Dragonhide Shoulderpads],19389,item:19389::::::::60,Best in Slot,0,DRUID,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cff0070dd|Hitem:13358::::::::60:::1::::|h[Wyrmtongue Shoulders]|h|r,,1,false,Leather,Shoulder,,Estaris-Grobbulus
Colde-Grobbulus,7/29/20,22:45:39,1596095139-22,[Taut Dragonhide Belt],19396,item:19396::::::::60,Upgrade,1,DRUID,Blackwing Lair-40 Player,Flamegor,9,469,40,|cff0070dd|Hitem:20216::::::::60:::11::::|h[Belt of Preserved Heads]|h|r,,2,false,Leather,Waist,,Estaris-Grobbulus
Colde-Grobbulus,7/29/20,22:46:30,1596095190-24,[Boots of the Shadow Flame],19381,item:19381::::::::60,Best in Slot,3,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18716::::::::60:::1::::|h[Ash Covered Boots]|h|r,,1,false,Leather,Feet,,Estaris-Grobbulus
Colde-Grobbulus,7/29/20,22:49:16,1596095356-27,[Head of Nefarian],19003,item:19003::::::::60,Upgrade,4,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,false,Quest,,,Estaris-Grobbulus
Colde-Grobbulus,7/29/20,22:49:24,1596095364-28,[Herald of Woe],19357,item:19357::::::::60,Upgrade,1,DRUID,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:18803::::::::60:::::::|h[Finkle's Lava Dredger]|h|r,,2,false,Two-Handed Maces,Two-Hand,,Estaris-Grobbulus
Colde-Grobbulus,7/29/20,22:49:52,1596095392-29,[Spineshatter],19335,item:19335::::::::60,Upgrade,1,DRUID,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:18803::::::::60:::::::|h[Finkle's Lava Dredger]|h|r,,2,false,One-Handed Maces,Main Hand,,Estaris-Grobbulus
