player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Kayumi-Grobbulus,10/04/20,23:11:34,1601885494-17,[Eye of C'Thun],21221,item:21221::::::::60,Best in Slot,4,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,,,1,false,Quest,,,Estaris-Grobbulus
Valearix-Grobbulus,10/04/20,23:13:00,1601885580-18,[Carapace of the Old God],20929,item:20929::::::::60,Best in Slot,2,ROGUE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,,,1,false,Quest,,,Estaris-Grobbulus
Shagy-Grobbulus,10/04/20,23:11:24,1601885484-15,[Imperial Qiraji Armaments],21232,item:21232::::::::60,Best in Slot,0,WARRIOR,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,,,1,false,Junk,,,Estaris-Grobbulus
Colde-Grobbulus,10/04/20,21:07:05,1601878025-0,[Resplendent Gauntlets of the Whale],14323,item:14323::::::1045:1268933120:60,Banking,nil,DRUID,Ahn'Qiraj Temple-40 Player,Unknown,9,531,40,,,2,true,Cloth,Hands,,Colde-Grobbulus
Colde-Grobbulus,10/04/20,21:20:28,1601878828-1,[Eternal Boots of the Whale],14329,item:14329::::::1046:1839153920:60,Banking,nil,DRUID,Ahn'Qiraj Temple-40 Player,Silithid Royalty,9,531,40,,,2,true,Cloth,Feet,,Colde-Grobbulus
Colde-Grobbulus,10/04/20,21:21:31,1601878891-2,[Sharpshooter Harquebus of the Falcon],15325,item:15325::::::247:2146398208:60,Banking,nil,DRUID,Ahn'Qiraj Temple-40 Player,Silithid Royalty,9,531,40,,,2,true,Guns,,,Colde-Grobbulus
Colde-Grobbulus,10/04/20,21:34:56,1601879696-3,[Supreme Bracers of Fire Resistance],15436,item:15436::::::1412:774112896:60,Banking,nil,DRUID,Ahn'Qiraj Temple-40 Player,Fankriss the Unyielding,9,531,40,,,2,true,Leather,Wrist,,Colde-Grobbulus
Tate-Grobbulus,10/04/20,23:09:06,1601885346-10,[Robes of the Guardian Saint],21663,item:21663::::::::60,Best in Slot,1,PRIEST,Ahn'Qiraj Temple-40 Player,Fankriss the Unyielding,9,531,40,|cffa335ee|Hitem:16923::::::::60:::::::|h[Robes of Transcendence]|h|r,,1,false,Cloth,Chest,,Estaris-Grobbulus
Catzby-Grobbulus,10/04/20,22:55:49,1601884549-5,[Barrage Shoulders],21699,item:21699::::::::60,PVP,0,HUNTER,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,|cffa335ee|Hitem:16848:2606:::::::60:::::::|h[Giantstalker's Epaulets]|h|r,,3,false,Mail,Shoulder,,Estaris-Grobbulus
Catzby-Grobbulus,10/04/20,22:59:09,1601884749-8,[Silithid Claw],21673,item:21673::::::::60,Pass,0,HUNTER,Ahn'Qiraj Temple-40 Player,Battleguard Sartura,9,531,40,|cffa335ee|Hitem:19865:2564:::::::60:::::::|h[Warblade of the Hakkari]|h|r,,PASS,false,Fist Weapons,Main Hand,,Estaris-Grobbulus
Catto-Grobbulus,10/04/20,23:00:17,1601884817-9,[Petrified Scarab],21685,item:21685::::::::60,Offspec,0,WARRIOR,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cff0070dd|Hitem:11815::::::::60:::1::::|h[Hand of Justice]|h|r,|cff0070dd|Hitem:13965::::::::60:::11::::|h[Blackhand's Breadth]|h|r,4,false,Miscellaneous,Trinket,,Estaris-Grobbulus
ðëv-Grobbulus,10/04/20,22:55:22,1601884522-4,[Creeping Vine Helm],21669,item:21669::::::::60,Upgrade,1,PALADIN,Ahn'Qiraj Temple-40 Player,Battleguard Sartura,9,531,40,|cff0070dd|Hitem:22720::::::::60:::::::|h[Zulian Headdress]|h|r,,2,false,Leather,Head,,Estaris-Grobbulus
ðëv-Grobbulus,10/04/20,22:56:24,1601884584-6,[Boots of the Unwavering Will],21706,item:21706::::::::60,Offspec,1,PALADIN,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,|cffa335ee|Hitem:21704::::::::60:::::::|h[Boots of the Redeemed Prophecy]|h|r,,4,false,Plate,Feet,,Estaris-Grobbulus
Backstaber-Grobbulus,10/04/20,23:15:27,1601885727-19,[Ouro's Intact Hide],20927,item:20927::::::::60,Best in Slot,1,ROGUE,Ahn'Qiraj Temple-40 Player,Ouro,9,531,40,|cffa335ee|Hitem:16909:2585:::::::60:::::::|h[Bloodfang Pants]|h|r,,1,false,Quest,,,Estaris-Grobbulus
Chameleon-Grobbulus,10/04/20,23:11:30,1601885490-16,[The Burrower's Shell],23558,item:23558::::::::60,PVP,0,WARLOCK,Ahn'Qiraj Temple-40 Player,Ouro,9,531,40,|cff0070dd|Hitem:17744::::::::60:::1::::|h[Heart of Noxxion]|h|r,|cff1eff00|Hitem:12065::::::::60:::11::::|h[Ward of the Elements]|h|r,3,false,Miscellaneous,Trinket,,Estaris-Grobbulus
