player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sicc-Grobbulus,9/23/20,22:25:33,1600932333-10,[Qiraji Bindings of Dominance],20932,item:20932::::::::60,Best in Slot,2,MAGE,Ahn'Qiraj Temple-40 Player,Princess Huhuran,9,531,40,|cff0070dd|Hitem:23319:2605:::::::60:::14::::|h[Lieutenant Commander's Silk Mantle]|h|r,|cff0070dd|Hitem:23291:911:::::::60:::14::::|h[Knight-Lieutenant's Silk Walkers]|h|r,1,false,Quest,,,Estaris-Grobbulus
Sicc-Grobbulus,9/23/20,23:45:04,1600937104-19,[Amulet of Vek'nilash],21608,item:21608::::::::60,Best in Slot,0,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:18814::::::::60:::::::|h[Choker of the Fire Lord]|h|r,,1,false,Miscellaneous,Neck,,Estaris-Grobbulus
Valearix-Grobbulus,9/23/20,22:43:42,1600933422-16,[Cloak of Concentrated Hatred],21701,item:21701::::::::60,Best in Slot,0,ROGUE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cff0070dd|Hitem:17739:1888:::::::60:::1::::|h[Grovekeeper's Drape]|h|r,,1,false,Cloth,Back,,Twin Emperors
Parabella-Grobbulus,9/23/20,23:48:36,1600937316-25,[Carapace of the Old God],20929,item:20929::::::::60,Best in Slot,0,ROGUE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cffa335ee|Hitem:21360::::::::60:::11::::|h[Deathdealer's Helm]|h|r,,1,false,Quest,,,C'thun
Tate-Grobbulus,9/23/20,22:26:09,1600932369-12,[Recomposed Boots],21648,item:21648::::::::60,PVP,0,PRIEST,Ahn'Qiraj Temple-40 Player,Battleguard Sartura,9,531,40,|cffa335ee|Hitem:16919:911:::::::60:::::::|h[Boots of Transcendence]|h|r,,3,false,Cloth,Feet,,Estaris-Grobbulus
Tate-Grobbulus,9/23/20,22:26:35,1600932395-14,[Petrified Scarab],21685,item:21685::::::::60,PVP,0,PRIEST,Ahn'Qiraj Temple-40 Player,Silithid Royalty,9,531,40,|cff0070dd|Hitem:18469::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,|cffa335ee|Hitem:19950::::::::60:::11::::|h[Zandalarian Hero Charm]|h|r,3,false,Miscellaneous,Trinket,,Estaris-Grobbulus
Tate-Grobbulus,9/23/20,23:46:40,1600937200-22,[Burrower Bracers],21611,item:21611::::::::60,Upgrade,0,PRIEST,Ahn'Qiraj Temple-40 Player,Ouro,9,531,40,|cffa335ee|Hitem:19843::::::::60:::11::::|h[Zandalar Confessor's Wraps]|h|r,,2,false,Cloth,Wrist,,Estaris-Grobbulus
Effective-Grobbulus,9/23/20,23:52:29,1600937549-29,[Dark Edge of Insanity],21134,item:21134::::::::60,Candidate didn't respond on time,0,WARRIOR,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cffa335ee|Hitem:12584:1900:::::::60:::14::::|h[Grand Marshal's Longsword]|h|r,|cffa335ee|Hitem:12584:1900:::::::60:::14::::|h[Grand Marshal's Longsword]|h|r,TIMEOUT,false,Two-Handed Axes,Two-Hand,,C'thun
Retributus-Grobbulus,9/23/20,22:24:32,1600932272-7,[Boots of the Unwavering Will],21706,item:21706::::::::60,Offspec,1,PALADIN,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,|cffa335ee|Hitem:19437:911:::::::60:::::::|h[Boots of Pure Thought]|h|r,,4,false,Plate,Feet,,Estaris-Grobbulus
Retributus-Grobbulus,9/23/20,23:50:47,1600937447-28,[Skin of the Great Sandworm],20931,item:20931::::::::60,Offspec,0,PALADIN,Ahn'Qiraj Temple-40 Player,Ouro,9,531,40,|cffa335ee|Hitem:19385:2584:::::::60:::::::|h[Empowered Leggings]|h|r,,4,false,Quest,,,Estaris-Grobbulus
Ramzergutzin-Grobbulus,9/23/20,22:24:17,1600932257-6,[Hive Defiler Wristguards],21618,item:21618::::::::60,Best in Slot,4,WARRIOR,Ahn'Qiraj Temple-40 Player,Princess Huhuran,9,531,40,|cff0070dd|Hitem:17746::::::::60:::1::::|h[Noxxion's Shackles]|h|r,,1,false,Plate,Wrist,,Estaris-Grobbulus
Fourtywinks-Grobbulus,9/23/20,22:20:53,1600932053-3,[Cloak of Concentrated Hatred],21701,item:21701::::::::60,Pass,0,ROGUE,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,|cff0070dd|Hitem:17739:2620:::::::60:::1::::|h[Grovekeeper's Drape]|h|r,,PASS,false,Cloth,Back,,Estaris-Grobbulus
Beltran-Grobbulus,9/23/20,22:26:23,1600932383-13,[Barb of the Sand Reaver],21635,item:21635::::::::60,Best in Slot,2,HUNTER,Ahn'Qiraj Temple-40 Player,Fankriss the Unyielding,9,531,40,"|cffa335ee|Hitem:19364:2564:::::::60:::::::|h[Ashkandi, Greatsword of the Brotherhood]|h|r",,1,false,Polearms,Two-Hand,,Estaris-Grobbulus
Pteradactyl-Grobbulus,9/23/20,23:47:01,1600937221-23,[Eye of C'Thun],21221,item:21221::::::::60,Best in Slot,0,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,,,1,false,Quest,,,C'thun
