"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"92","Hereticbabe","1240277$5.71%1.24m","-","90","79.53%","569.6",""
"89","Fourty","1199491$5.52%1.20m","-","88","80.56%","550.9",""
"94","Scyter","1147681$5.28%1.15m","-","95","70.77%","527.1",""
"92","Backstaber","1147144$5.28%1.15m","-","92","72.52%","526.9",""
"87","Korsen","1102717$5.07%1.10m","-","85","75.26%","506.5",""
"88","Zoey","945690$4.35%945.7k","-","89","65.45%","434.3",""
"86","Saeros","925971$4.26%926.0k","-","84","67.96%","425.3",""
"77","Mustacheman","923245$4.25%923.2k","-","76","77.50%","424.0",""
"79","Pteradactyl","907845$4.18%907.8k","66","88","71.79%","417.0",""
"75","Parabella","881583$4.06%881.6k","-","69","74.08%","404.9",""
"84","Menswear","861561$3.96%861.6k","-","83","62.98%","395.7",""
"88","Catto","854492$3.93%854.5k","-","88","80.92%","392.4",""
"70","Nymh","835675$3.84%835.7k","-","70","67.26%","383.8",""
"76","Gutterz","803943$3.70%803.9k","-","92","80.95%","369.2",""
"73","Valearix","795135$3.66%795.1k","68","80","57.56%","365.2",""
"72","Ramzergutzin","781365$3.59%781.4k","-","69","82.44%","358.9",""
"62","Shagy","776160$3.57%776.2k","-","61","72.19%","356.5",""
"75","Gatzby","753213$3.46%753.2k","-","76","59.49%","345.9",""
"82","Chocobos","726142$3.34%726.1k","-","79","73.15%","333.5",""
"82","Ezpk","695531$3.20%695.5k","-","78","76.28%","319.4",""
"88","Sociables","685945$3.16%685.9k","-","90","81.68%","315.0",""
"71","Nemsy","614252$2.83%614.3k","-","66","59.74%","282.1",""
"91","Beltran","607240$2.79%607.2k","-","88","59.01%","278.9",""
"80","Faith","590736$2.72%590.7k","74","73","66.63%","271.3",""
"86","Harper","553453$2.55%553.5k","-","84","37.78%","254.2",""
"32","Kolde","216273$0.99%216.3k","70","27","39.77%","99.3",""
"92","Aconites","44893$0.21%44.9k","-","92","5.26%","20.6",""
"84","Estaris","28613$0.13%28.6k","-","83","3.45%","13.1",""
"94","Retributus","25187$0.12%25.2k","-","94","0.80%","11.6",""
"96","Revo","23175$0.11%23.2k","67","96","1.15%","10.6",""
"-","Xinrokh","15149$0.07%15.1k","-","-","2.51%","7.0",""
"96","Mkomacine","13048$0.06%13.0k","-","96","0.79%","6.0",""
"91","Doomkon","11418$0.05%11.4k","-","91","1.84%","5.2",""
"74","Ismaela","4639$0.02%4.6k","-","74","0.00%","2.1",""
