"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"65","Araxia","1214508$5.22%1.21m","-","61","78.58%","431.8",""
"75","Fourty","1178047$5.06%1.18m","64","76","78.20%","418.8",""
"70","Parabella","1177663$5.06%1.18m","-","69","72.14%","418.7",""
"68","Zoey","1085787$4.66%1.09m","-","78","62.27%","386.0",""
"59","Shagy","1056794$4.54%1.06m","-","57","70.29%","375.7",""
"55","Nymh","1046923$4.50%1.05m","65","73","61.82%","372.2",""
"56","Saeros","941732$4.04%941.7k","-","55","66.98%","334.8",""
"44","Effective","933639$4.01%933.6k","65","43","75.07%","331.9",""
"50","Harper","863220$3.71%863.2k","-","54","58.12%","306.9",""
"50","Hereticbabe","851032$3.65%851.0k","65","48","65.21%","302.5",""
"33","Oznob","848518$3.64%848.5k","-","31","54.58%","301.7",""
"42","Scyter","845089$3.63%845.1k","65","64","61.78%","300.4",""
"67","Menswear","837361$3.60%837.4k","-","64","54.50%","297.7",""
"48","Omegatran","798364$3.43%798.4k","-","51","71.16%","283.8",""
"17","Pteradactyl","788590$3.39%788.6k","-","32","59.89%","280.4",""
"42","Ramzergutzin","782627$3.36%782.6k","-","41","75.50%","278.2",""
"69","Chocobos","777590$3.34%777.6k","66","82","66.54%","276.4",""
"54","Gatzby","775286$3.33%775.3k","-","64","44.95%","275.6",""
"74","Gutterz","745624$3.20%745.6k","-","68","81.12%","265.1",""
"59","Faith","673095$2.89%673.1k","-","67","65.56%","239.3",""
"54","Ezpk","670382$2.88%670.4k","-","65","69.46%","238.3",""
"52","Lockemup","663042$2.85%663.0k","-","55","57.96%","235.7",""
"69","Beltran","642167$2.76%642.2k","66","78","58.09%","228.3",""
"47","Chameleon","625559$2.69%625.6k","-","57","47.49%","222.4",""
"77","Catt","602127$2.59%602.1k","-","72","57.72%","214.1",""
"49","Nemsy","536570$2.30%536.6k","-","47","42.73%","190.8",""
"50","Sociables","410503$1.76%410.5k","-","52","81.24%","145.9",""
"19","Olfred","376801$1.62%376.8k","60","54","50.11%","134.0",""
"42","Kolde","365748$1.57%365.7k","-","56","49.78%","130.0",""
"91","Estaris","104289$0.45%104.3k","68","91","9.81%","37.1",""
"94","Xinrokh","22502$0.10%22.5k","-","94","3.51%","8.0",""
"95","Mkomacine","12041$0.05%12.0k","67","95","0.00%","4.3",""
"85","Doomkon","11332$0.05%11.3k","-","86","1.63%","4.0",""
"93","Faeron","6704$0.03%6.7k","-","92","0.00%","2.4",""
"95","Adabecies","6574$0.03%6.6k","62","95","0.90%","2.3",""
"-","Jahlia","4568$0.02%4.6k","68","-","0.00%","1.6",""
"98","Retributus","2366$0.01%2.4k","-","98","0.00%","0.8",""
"98","Ismaela","562$0.00%562.0","68","98","0.00%","0.2",""
"-","Geldschulder","420$0.00%420.0","-","-","0.00%","0.1",""
