"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"85","Saeros","1128681$6.13%1.13m","-","77","76.13%","462.4",""
"66","Quel","1001303$5.44%1.00m","-","60","76.92%","410.2",""
"76","Fourtywinks","984023$5.34%984.0k","-","71","77.29%","403.1",""
"70","Pteradactyl","966844$5.25%966.8k","73","64","71.03%","396.1",""
"69","Nymh","883662$4.80%883.7k","-","58","71.47%","362.0",""
"69","Backstaber","878501$4.77%878.5k","-","58","72.02%","359.9",""
"68","Kayumi","852311$4.63%852.3k","72","65","71.88%","349.1",""
"69","Parabella","791045$4.29%791.0k","74","57","68.24%","324.0",""
"73","Catzby","788830$4.28%788.8k","-","64","75.18%","323.1",""
"50","Kimpossible","767710$4.17%767.7k","69","47","78.64%","314.5",""
"41","Moty","751287$4.08%751.3k","72","32","72.44%","307.8",""
"93","Beltran","747292$4.06%747.3k","-","85","63.74%","306.1",""
"48","Sicc","708346$3.84%708.3k","-","40","62.97%","290.2",""
"58","Valearix","703224$3.82%703.2k","-","58","61.88%","288.1",""
"45","Blacklace","698287$3.79%698.3k","62","77","72.34%","286.0",""
"53","Plume","670642$3.64%670.6k","-","66","60.53%","274.7",""
"60","Catto","628965$3.41%629.0k","-","58","81.38%","257.7",""
"72","Gutterz","623573$3.38%623.6k","-","68","82.14%","255.4",""
"46","Lahk","619105$3.36%619.1k","73","30","52.27%","253.6",""
"31","Saiter","601174$3.26%601.2k","58","71","68.64%","246.3",""
"42","Chameleon","559510$3.04%559.5k","73","28","48.97%","229.2",""
"58","Shagy","547839$2.97%547.8k","-","56","76.88%","224.4",""
"18","Machomange","464966$2.52%465.0k","61","42","70.05%","190.5",""
"30","Kahleia","392124$2.13%392.1k","53","75","47.83%","160.6",""
"45","Colde","346269$1.88%346.3k","74","34","66.35%","141.8",""
"10","Faithfortis","268120$1.46%268.1k","65","10","67.72%","109.8",""
"72","Xinrokh","29806$0.16%29.8k","-","72","8.02%","12.2",""
"94","Zayá","6275$0.03%6.3k","65","93","5.90%","2.6",""
"95","Estaris","4661$0.03%4.7k","72","95","2.92%","1.9",""
"89","Faeron","3639$0.02%3.6k","-","90","1.16%","1.5",""
"2","Lorianne","2175$0.01%2.2k","60","3","0.66%","0.9",""
"90","Mkomacine","1755$0.01%1.8k","-","90","0.00%","0.7",""
"-","Tate","1002$0.01%1.0k","73","-","0.00%","0.4",""
"-","Némsy","1002$0.01%1.0k","73","-","0.00%","0.4",""
