"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"89","Parabella","990789$5.35%990.8k","-","87","78.79%","426.3",""
"69","Saeros","867581$4.68%867.6k","-","62","68.49%","373.3",""
"63","Effective","858819$4.64%858.8k","-","61","78.87%","369.5",""
"72","Scyter","832967$4.50%833.0k","-","85","70.11%","358.4",""
"65","Oznob","802696$4.33%802.7k","70","58","63.51%","345.4",""
"65","Nymh","786269$4.25%786.3k","66","77","63.35%","338.3",""
"72","Zoey","785963$4.24%786.0k","-","79","61.53%","338.2",""
"66","Hereticbabe","773544$4.18%773.5k","65","67","66.69%","332.9",""
"73","Ezpk","747402$4.04%747.4k","-","80","77.99%","321.6",""
"68","Fourty","732349$3.95%732.3k","-","73","74.64%","315.1",""
"71","Shagy","718712$3.88%718.7k","-","71","67.71%","309.3",""
"86","Beltran","706050$3.81%706.1k","66","91","64.97%","303.8",""
"75","Chocobos","698746$3.77%698.7k","68","79","63.09%","300.7",""
"64","Harper","687563$3.71%687.6k","70","63","57.24%","295.9",""
"59","Chameleon","650985$3.52%651.0k","67","69","62.28%","280.1",""
"60","Nemsy","641812$3.47%641.8k","-","55","60.38%","276.2",""
"45","Jarvan","627939$3.39%627.9k","60","76","75.29%","270.2",""
"57","Omegatran","623920$3.37%623.9k","64","63","62.21%","268.5",""
"45","Pteradactyl","611337$3.30%611.3k","-","57","58.70%","263.1",""
"68","Gatzby","581559$3.14%581.6k","68","70","47.78%","250.2",""
"49","Lockemup","579015$3.13%579.0k","-","48","56.15%","249.1",""
"69","Gutterz","532911$2.88%532.9k","-","61","81.98%","229.3",""
"33","Jsyk","528476$2.85%528.5k","61","68","65.65%","227.4",""
"58","Rigbi","521837$2.82%521.8k","-","82","60.54%","224.5",""
"21","Olfred","426123$2.30%426.1k","-","48","63.25%","183.4",""
"47","Ramzergutzin","391689$2.12%391.7k","-","44","46.16%","168.5",""
"58","Sociables","390617$2.11%390.6k","-","71","84.63%","168.1",""
"47","Kolde","368432$1.99%368.4k","-","56","50.38%","158.5",""
"-","Faithmender","21324$0.12%21.3k","62","-","0.91%","9.2",""
"97","Estaris","8103$0.04%8.1k","68","97","2.72%","3.5",""
"97","Ismaela","6742$0.04%6.7k","-","97","0.00%","2.9",""
"96","Retributus","5686$0.03%5.7k","64","96","0.00%","2.4",""
"95","Adabecies","4362$0.02%4.4k","62","95","0.51%","1.9",""
"96","Doomkon","3343$0.02%3.3k","65","96","1.08%","1.4",""
"-","Geldschulder","1434$0.01%1.4k","69","-","0.00%","0.6",""
"91","Faeron","1169$0.01%1.2k","-","91","0.68%","0.5",""
"-","Mkomacine","439$0.00%439.0","68","-","0.00%","0.2",""
