"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"95","Shagy","1224003$5.81%1.22m","-","94","77.79%","619.7",""
"93","Hereticbabe","1151772$5.47%1.15m","-","92","76.92%","583.2",""
"92","Parabella","1060353$5.04%1.06m","-","89","77.17%","536.9",""
"86","Effective","1053662$5.01%1.05m","-","84","80.05%","533.5",""
"95","Saeros","1021874$4.85%1.02m","-","94","71.50%","517.4",""
"95","Scyter","1020371$4.85%1.02m","-","95","67.17%","516.6",""
"94","Backstaber","1009515$4.80%1.01m","-","93","69.11%","511.1",""
"86","Harper","889631$4.23%889.6k","-","85","72.85%","450.4",""
"86","Mustacheman","869295$4.13%869.3k","-","86","73.32%","440.1",""
"88","Quel","839943$3.99%839.9k","-","87","75.52%","425.3",""
"88","Fourtywinks","838894$3.99%838.9k","-","92","66.15%","424.7",""
"88","Zoey","722156$3.43%722.2k","-","90","70.63%","365.6",""
"84","Nymh","709522$3.37%709.5k","-","81","68.45%","359.2",""
"81","Gatzby","704367$3.35%704.4k","-","82","61.22%","356.6",""
"80","Pteradactyl","697787$3.31%697.8k","-","85","66.88%","353.3",""
"74","Catto","684235$3.25%684.2k","-","71","74.98%","346.4",""
"91","Sociables","665479$3.16%665.5k","-","91","76.18%","336.9",""
"60","Valearix","630429$2.99%630.4k","-","61","65.23%","319.2",""
"90","Ezpk","608965$2.89%609.0k","-","87","72.59%","308.3",""
"97","Beltran","590226$2.80%590.2k","-","97","59.06%","298.8",""
"71","Ramzergutzin","556250$2.64%556.3k","-","73","75.56%","281.6",""
"86","Nemsy","540788$2.57%540.8k","71","83","58.63%","273.8",""
"86","Faith","539956$2.57%540.0k","-","81","61.92%","273.4",""
"73","Chocobos","521172$2.48%521.2k","-","70","67.12%","263.9",""
"78","Chameleon","457396$2.17%457.4k","-","74","52.61%","231.6",""
"65","Lahk","411514$1.95%411.5k","-","81","49.53%","208.4",""
"37","Smallhelix","374518$1.78%374.5k","64","60","57.53%","189.6",""
"27","Sicc","365543$1.74%365.5k","-","46","45.60%","185.1",""
"44","Kolde","200999$0.95%201.0k","-","39","43.32%","101.8",""
"-","Aconites","30401$0.14%30.4k","-","-","2.33%","15.4",""
"-","Retributus","24136$0.11%24.1k","-","-","0.00%","12.2",""
"-","Doomkon","17882$0.08%17.9k","-","-","3.27%","9.1",""
"81","Ismaela","8173$0.04%8.2k","-","82","0.00%","4.1",""
"-","Xinrokh","2619$0.01%2.6k","-","-","1.33%","1.3",""
"-","Jahlia","2469$0.01%2.5k","-","-","0.00%","1.3",""
"-","Estaris","2132$0.01%2.1k","-","-","0.00%","1.1",""
"-","Mkomacine","1801$0.01%1.8k","-","-","0.00%","0.9",""
