"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"85","Effective","2055605$6.19%2.06m","-","84","61.64%","432.3",""
"80","Backstaber","1795491$5.41%1.80m","-","81","59.75%","377.6",""
"71","Zoey","1748913$5.27%1.75m","-","73","63.26%","367.8",""
"65","Nymh","1624717$4.90%1.62m","-","63","53.94%","341.7",""
"76","Scyter","1583397$4.77%1.58m","-","78","55.32%","333.0",""
"73","Saeros","1583010$4.77%1.58m","-","69","54.37%","332.9",""
"66","Pteradactyl","1562918$4.71%1.56m","-","67","57.93%","328.7",""
"68","Parabella","1450888$4.37%1.45m","-","68","54.66%","305.1",""
"73","Fourtywinks","1433179$4.32%1.43m","-","77","54.37%","301.4",""
"58","Kayumi","1335539$4.02%1.34m","72","61","62.55%","280.8",""
"52","Ramzergutzin","1270620$3.83%1.27m","-","58","59.18%","267.2",""
"63","Korsen","1227132$3.70%1.23m","-","62","53.43%","258.1",""
"65","Moty","1134524$3.42%1.13m","-","69","47.30%","238.6",""
"75","Shagy","1083974$3.27%1.08m","-","76","63.30%","227.9",""
"28","Sicc","1072733$3.23%1.07m","-","29","54.34%","225.6",""
"83","Beltran","1060625$3.20%1.06m","-","79","57.31%","223.0",""
"71","Eranei","989540$2.98%989.5k","66","78","51.55%","208.1",""
"61","Catzby","967005$2.91%967.0k","-","64","55.11%","203.4",""
"74","Nemsy","966148$2.91%966.1k","-","73","42.30%","203.2",""
"85","Gutterz","949418$2.86%949.4k","-","85","49.46%","199.7",""
"67","Chameleon","912358$2.75%912.4k","-","63","48.45%","191.9",""
"59","Faith","903364$2.72%903.4k","-","56","48.86%","190.0",""
"48","Quel","898190$2.71%898.2k","-","47","44.27%","188.9",""
"66","Catto","877259$2.64%877.3k","-","70","48.86%","184.5",""
"61","Lahk","841540$2.54%841.5k","-","57","39.82%","177.0",""
"36","Valearix","806588$2.43%806.6k","-","37","36.47%","169.6",""
"31","Mgcraisin","441189$1.33%441.2k","-","32","32.92%","92.8",""
"50","Colde","415036$1.25%415.0k","-","41","41.89%","87.3",""
"94","Xinrokh","57964$0.17%58.0k","-","94","13.00%","12.2",""
"73","Mkomacine","23427$0.07%23.4k","-","73","4.41%","4.9",""
"42","Estaris","22831$0.07%22.8k","-","41","4.88%","4.8",""
"81","Aconites","18343$0.06%18.3k","-","80","3.18%","3.9",""
"69","Faeron","17333$0.05%17.3k","-","70","3.06%","3.6",""
"69","Ðëv","14856$0.04%14.9k","66","74","4.32%","3.1",""
"60","Jahlia","12008$0.04%12.0k","-","57","1.67%","2.5",""
"59","Doomkon","11334$0.03%11.3k","-","60","2.61%","2.4",""
"70","Retributus","9356$0.03%9.4k","-","72","2.05%","2.0",""
"66","Tate","7600$0.02%7.6k","-","66","1.60%","1.6",""
