"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"84","Effective","1207252$6.48%1.21m","-","79","84.03%","495.5",""
"88","Backstaber","1104136$5.92%1.10m","-","81","75.06%","453.2",""
"96","Zoey","1053980$5.65%1.05m","-","93","59.51%","432.6",""
"79","Pteradactyl","936923$5.03%936.9k","-","72","71.02%","384.6",""
"79","Saeros","928089$4.98%928.1k","-","68","70.54%","380.9",""
"62","Quel","903895$4.85%903.9k","-","54","78.31%","371.0",""
"79","Shagy","893857$4.80%893.9k","-","76","72.61%","366.9",""
"69","Fourtywinks","858345$4.60%858.3k","-","63","73.32%","352.3",""
"68","Moty","844571$4.53%844.6k","72","63","67.25%","346.7",""
"64","Nymh","796142$4.27%796.1k","-","54","63.05%","326.8",""
"76","Gutterz","740275$3.97%740.3k","-","73","82.01%","303.8",""
"62","Nemsy","711018$3.81%711.0k","73","47","53.68%","291.8",""
"42","Blacklace","687353$3.69%687.4k","64","66","73.84%","282.1",""
"61","Catzby","680123$3.65%680.1k","-","65","68.16%","279.2",""
"92","Beltran","677127$3.63%677.1k","-","85","63.99%","277.9",""
"52","Sicc","661101$3.55%661.1k","74","43","65.01%","271.3",""
"66","Parabella","652192$3.50%652.2k","74","54","53.53%","267.7",""
"52","Catto","636873$3.42%636.9k","-","53","80.83%","261.4",""
"58","Valearix","625899$3.36%625.9k","-","43","57.44%","256.9",""
"61","Flikflak","616289$3.31%616.3k","71","52","44.76%","253.0",""
"58","Lahk","607479$3.26%607.5k","-","43","48.29%","249.3",""
"64","Chameleon","522487$2.80%522.5k","73","46","43.82%","214.5",""
"38","Kahleia","455356$2.44%455.4k","56","81","47.87%","186.9",""
"21","Saiter","446612$2.40%446.6k","59","50","51.26%","183.3",""
"57","Colde","235723$1.26%235.7k","-","52","40.57%","96.8",""
"6","Faithfortis","142660$0.77%142.7k","65","6","41.54%","58.6",""
"-","Faeron","8894$0.05%8.9k","-","-","0.00%","3.7",""
"94","Ismaela","1708$0.01%1.7k","70","94","0.00%","0.7",""
"89","Doomkon","1495$0.01%1.5k","70","89","0.00%","0.6",""
"95","Estaris","1232$0.01%1.2k","72","95","0.85%","0.5",""
"-","Retributus","633$0.00%633.0","-","-","0.00%","0.3",""
"95","Lorianne","373$0.00%373.0","64","95","0.00%","0.2",""
"-","Tate","10$0.00%10.0","74","-","0.00%","0.0",""
