"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"85","Effective","1677882$5.40%1.68m","-","83","66.53%","393.9",""
"83","Zoey","1565350$5.04%1.57m","-","84","64.86%","367.5",""
"80","Nymh","1562747$5.03%1.56m","-","80","64.05%","366.8",""
"88","Parabella","1553607$5.00%1.55m","-","89","55.48%","364.7",""
"89","Scyter","1529882$4.93%1.53m","-","90","52.40%","359.1",""
"88","Moty","1497175$4.82%1.50m","-","90","57.52%","351.4",""
"68","Backstaber","1457944$4.70%1.46m","-","69","60.53%","342.2",""
"78","Hereticbabe","1360982$4.38%1.36m","-","82","60.09%","319.5",""
"67","Fourtywinks","1338697$4.31%1.34m","-","70","52.76%","314.2",""
"81","Menswear","1308948$4.22%1.31m","-","84","61.37%","307.3",""
"69","Kayumi","1301799$4.19%1.30m","71","73","65.84%","305.6",""
"78","Korsen","1283004$4.13%1.28m","-","78","57.84%","301.2",""
"65","Saeros","1127541$3.63%1.13m","-","63","46.72%","264.7",""
"48","Sicc","1093736$3.52%1.09m","-","49","59.07%","256.7",""
"53","Ramzergutzin","1047685$3.37%1.05m","-","56","63.69%","245.9",""
"93","Shagy","1005145$3.24%1.01m","-","93","57.27%","235.9",""
"66","Valearix","987204$3.18%987.2k","-","68","46.31%","231.7",""
"80","Beltran","960911$3.09%960.9k","-","79","55.95%","225.6",""
"70","Nemsy","943790$3.04%943.8k","-","68","47.01%","221.5",""
"68","Faith","867540$2.79%867.5k","-","65","60.64%","203.6",""
"49","Catzby","829899$2.67%829.9k","-","54","49.75%","194.8",""
"79","Gutterz","826771$2.66%826.8k","-","78","58.47%","194.1",""
"66","Catto","816191$2.63%816.2k","-","68","48.34%","191.6",""
"65","Chameleon","803208$2.59%803.2k","-","62","46.12%","188.5",""
"60","Eranei","800169$2.58%800.2k","66","67","51.71%","187.8",""
"68","Lahk","746608$2.40%746.6k","-","69","36.51%","175.3",""
"58","Colde","385393$1.24%385.4k","-","53","46.84%","90.5",""
"82","Pteradactyl","220578$0.71%220.6k","73","83","11.51%","51.8",""
"95","Xinrokh","37146$0.12%37.1k","75","95","7.76%","8.7",""
"41","Tate","20813$0.07%20.8k","-","40","3.02%","4.9",""
"88","Faeron","14857$0.05%14.9k","-","88","1.09%","3.5",""
"81","Doomkon","14124$0.05%14.1k","-","81","2.09%","3.3",""
"60","Mkomacine","12875$0.04%12.9k","-","60","1.96%","3.0",""
"78","Estaris","12811$0.04%12.8k","-","76","3.61%","3.0",""
"81","Ismaela","12329$0.04%12.3k","-","81","3.03%","2.9",""
"76","Jahlia","10359$0.03%10.4k","-","73","1.71%","2.4",""
"87","Retributus","8450$0.03%8.5k","-","88","1.64%","2.0",""
"67","Aconites","4861$0.02%4.9k","-","67","0.63%","1.1",""
