"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Shagy","1080580$5.18%1.08m","-","73","77.09%","471.7",""
"74","Parabella","1022275$4.90%1.02m","-","71","69.01%","446.2",""
"78","Scyter","995730$4.78%995.7k","-","81","63.85%","434.6",""
"76","Backstaber","979684$4.70%979.7k","-","81","67.25%","427.6",""
"52","Pteradactyl","878071$4.21%878.1k","-","67","69.68%","383.3",""
"62","Hereticbabe","874413$4.19%874.4k","-","63","71.57%","381.7",""
"81","Saeros","852482$4.09%852.5k","-","78","65.80%","372.1",""
"65","Fourty","833755$4.00%833.8k","-","64","78.29%","363.9",""
"69","Nymh","829831$3.98%829.8k","70","67","57.92%","362.2",""
"66","Effective","829157$3.98%829.2k","-","63","77.65%","361.9",""
"67","Zoey","793409$3.81%793.4k","-","78","57.70%","346.3",""
"64","Gatzby","774885$3.72%774.9k","-","72","56.69%","338.2",""
"61","Harper","763310$3.66%763.3k","-","60","60.78%","333.2",""
"55","Menswear","762924$3.66%762.9k","72","49","58.36%","333.0",""
"85","Beltran","729905$3.50%729.9k","68","88","71.60%","318.6",""
"49","Mustacheman","728542$3.49%728.5k","-","50","72.12%","318.0",""
"49","Quel","721387$3.46%721.4k","-","46","72.54%","314.9",""
"40","Valearix","717743$3.44%717.7k","65","53","62.20%","313.3",""
"67","Ezpk","665180$3.19%665.2k","-","65","74.30%","290.4",""
"62","Faith","605746$2.91%605.7k","-","66","70.14%","264.4",""
"69","Chameleon","574748$2.76%574.7k","-","67","57.80%","250.9",""
"45","Ramzergutzin","567571$2.72%567.6k","-","41","73.67%","247.8",""
"61","Nemsy","552581$2.65%552.6k","69","60","60.40%","241.2",""
"74","Chocobos","529371$2.54%529.4k","-","71","56.06%","231.1",""
"27","Donaldglover","517297$2.48%517.3k","65","25","70.20%","225.8",""
"65","Sociables","480827$2.31%480.8k","-","73","75.69%","209.9",""
"68","Gutterz","469422$2.25%469.4k","-","72","76.48%","204.9",""
"56","Catt","388370$1.86%388.4k","-","52","60.45%","169.5",""
"36","Kolde","200094$0.96%200.1k","-","32","42.76%","87.3",""
"-","Estaris","47536$0.23%47.5k","-","-","4.63%","20.8",""
"94","Ismaela","36917$0.18%36.9k","-","95","0.92%","16.1",""
"95","Retributus","29827$0.14%29.8k","-","95","0.00%","13.0",""
"84","Faeron","6893$0.03%6.9k","69","85","0.00%","3.0",""
"95","Xinrokh","4553$0.02%4.6k","-","95","1.47%","2.0",""
"85","Mkomacine","1759$0.01%1.8k","69","84","0.00%","0.8",""
"71","Doomkon","876$0.00%876.0","67","73","0.60%","0.4",""
