"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"68","Parabella","1425919$5.72%1.43m","-","76","71.25%","415.1",""
"73","Zoey","1344678$5.39%1.34m","-","86","59.21%","391.4",""
"62","Nymh","1242461$4.98%1.24m","65","77","65.30%","361.7",""
"46","Hereticbabe","1185566$4.75%1.19m","-","46","71.53%","345.1",""
"40","Saeros","1154858$4.63%1.15m","-","55","67.86%","336.2",""
"38","Fourty","1125182$4.51%1.13m","-","43","72.31%","327.5",""
"57","Harper","1083004$4.34%1.08m","-","67","56.52%","315.3",""
"39","Effective","1061882$4.26%1.06m","-","42","73.70%","309.1",""
"55","Menswear","1018339$4.08%1.02m","68","59","48.93%","296.4",""
"43","Quel","1010526$4.05%1.01m","-","56","67.01%","294.2",""
"34","Omegatran","1004140$4.02%1.00m","-","45","70.61%","292.3",""
"27","Eckz","945050$3.79%945.1k","-","26","68.61%","275.1",""
"55","Faith","942288$3.78%942.3k","-","62","73.06%","274.3",""
"62","Beltran","911529$3.65%911.5k","-","69","62.37%","265.3",""
"34","Ramzergutzin","897099$3.60%897.1k","-","32","70.99%","261.1",""
"52","Chocobos","885610$3.55%885.6k","65","70","58.55%","257.8",""
"50","Ezpk","840408$3.37%840.4k","69","55","62.79%","244.6",""
"23","Parseval","826724$3.31%826.7k","-","34","56.59%","240.7",""
"56","Eranei","765913$3.07%765.9k","66","65","50.32%","223.0",""
"11","Mustacheman","744478$2.98%744.5k","-","25","62.20%","216.7",""
"44","Mgcraisin","724021$2.90%724.0k","-","46","57.35%","210.8",""
"25","Gutterz","652316$2.61%652.3k","-","21","74.91%","189.9",""
"30","Chameleon","639688$2.56%639.7k","-","56","42.48%","186.2",""
"45","Catt","635738$2.55%635.7k","-","45","60.75%","185.1",""
"30","Nemsy","616586$2.47%616.6k","65","44","42.26%","179.5",""
"24","Kolde","483259$1.94%483.3k","-","46","47.50%","140.7",""
"38","Sociables","464584$1.86%464.6k","-","41","79.51%","135.2",""
"48","Araxia","66382$0.27%66.4k","66","42","3.74%","19.3",""
"54","Pteradactyl","49375$0.20%49.4k","-","93","4.72%","14.4",""
"42","Ezie","43912$0.18%43.9k","-","71","4.03%","12.8",""
"74","Estaris","30217$0.12%30.2k","67","75","6.16%","8.8",""
"11","Hijax","27788$0.11%27.8k","62","29","3.11%","8.1",""
"99","Alcade","27335$0.11%27.3k","66","99","0.00%","8.0",""
"85","Faeron","21200$0.08%21.2k","-","85","0.00%","6.2",""
"87","Xinrokh","12042$0.05%12.0k","68","87","1.97%","3.5",""
"80","Kynsia","10596$0.04%10.6k","-","81","1.88%","3.1",""
"85","Mkomacine","8620$0.03%8.6k","67","85","0.00%","2.5",""
"59","Erathion","6058$0.02%6.1k","62","67","0.96%","1.8",""
"-","Jahlia","4916$0.02%4.9k","-","-","0.00%","1.4",""
"82","Ismaela","3149$0.01%3.1k","-","85","0.00%","0.9",""
"-","Wibi","1927$0.01%1.9k","67","-","0.00%","0.6",""
"-","Blackey","1341$0.01%1.3k","66","-","0.00%","0.4",""
"-","Duperdonic","809$0.00%809.0","66","-","0.00%","0.2",""
"92","Silverhawk","574$0.00%574.0","-","93","0.00%","0.2",""
"-","Babinette","370$0.00%370.0","60","-","0.00%","0.1",""
"-","Marusion","327$0.00%327.0","68","-","0.00%","0.1",""
"-","Baregrills","204$0.00%204.0","-","-","0.00%","0.1",""
