"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"80","Backstaber","1098255$5.95%1.10m","-","74","74.11%","423.6",""
"73","Effective","1004383$5.44%1.00m","-","66","70.25%","387.4",""
"59","Quel","999274$5.41%999.3k","-","54","78.17%","385.4",""
"68","Saeros","969948$5.25%969.9k","-","55","75.44%","374.1",""
"79","Chameleon","934261$5.06%934.3k","73","66","71.32%","360.4",""
"67","Pteradactyl","882970$4.78%883.0k","73","59","64.28%","340.6",""
"52","Moty","816926$4.43%816.9k","-","43","73.39%","315.1",""
"67","Nemsy","811694$4.40%811.7k","72","53","56.31%","313.1",""
"67","Zoey","801076$4.34%801.1k","72","59","53.60%","309.0",""
"87","Ezpk","762615$4.13%762.6k","-","78","62.83%","294.2",""
"67","Lahk","743729$4.03%743.7k","-","57","50.02%","286.9",""
"90","Beltran","737910$4.00%737.9k","-","83","68.50%","284.6",""
"65","Cbeastwood","735025$3.98%735.0k","-","71","72.75%","283.5",""
"52","Kayumi","730122$3.96%730.1k","68","62","63.46%","281.6",""
"46","Blacklace","692350$3.75%692.4k","62","80","72.63%","267.1",""
"42","Kimpossible","676609$3.67%676.6k","66","54","69.60%","261.0",""
"46","Parabella","663754$3.60%663.8k","70","39","59.44%","256.0",""
"60","Gutterz","649291$3.52%649.3k","-","61","81.60%","250.4",""
"72","Catto","617332$3.34%617.3k","-","70","78.15%","238.1",""
"69","Faith","608222$3.29%608.2k","75","48","64.01%","234.6",""
"17","Saiter","516628$2.80%516.6k","58","52","59.27%","199.3",""
"19","Jaequellin","421633$2.28%421.6k","63","41","51.07%","162.6",""
"41","Shagy","421035$2.28%421.0k","-","39","47.36%","162.4",""
"16","Hereticmie","412552$2.23%412.6k","56","55","57.74%","159.1",""
"24","Valearix","374850$2.03%374.9k","-","21","37.96%","144.6",""
"46","Colde","332967$1.80%333.0k","70","36","64.69%","128.4",""
"93","Estaris","20591$0.11%20.6k","72","94","3.36%","7.9",""
"91","Doomkon","7460$0.04%7.5k","70","91","2.29%","2.9",""
"-","Jahlia","5936$0.03%5.9k","-","-","0.00%","2.3",""
"93","Retributus","4180$0.02%4.2k","67","93","0.00%","1.6",""
"88","Tate","3964$0.02%4.0k","71","88","0.00%","1.5",""
"80","Mkomacine","1499$0.01%1.5k","-","79","0.72%","0.6",""
"-","Ismaela","574$0.00%574.0","-","-","0.00%","0.2",""
"84","Faeron","237$0.00%237.0","-","84","0.00%","0.1",""
