"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Saeros","930664$4.64%930.7k","71","74","71.29%","381.2",""
"79","Harper","930091$4.64%930.1k","-","77","73.31%","381.0",""
"66","Hereticbabe","859991$4.29%860.0k","-","70","75.38%","352.3",""
"59","Shagy","857439$4.28%857.4k","-","57","70.36%","351.2",""
"70","Effective","852152$4.25%852.2k","-","65","79.26%","349.1",""
"67","Backstaber","838276$4.18%838.3k","-","78","73.20%","343.4",""
"74","Zoey","826017$4.12%826.0k","-","81","56.28%","338.4",""
"76","Parabella","816835$4.07%816.8k","-","71","67.04%","334.6",""
"43","Nymh","814343$4.06%814.3k","70","35","62.07%","333.6",""
"51","Fourty","788954$3.93%789.0k","66","47","77.51%","323.2",""
"85","Chocobos","784810$3.91%784.8k","-","82","56.59%","321.5",""
"65","Scyter","783295$3.91%783.3k","-","71","68.61%","320.9",""
"55","Pteradactyl","756956$3.77%757.0k","66","68","65.38%","310.1",""
"64","Quel","748443$3.73%748.4k","-","68","76.67%","306.6",""
"77","Ezpk","710773$3.54%710.8k","71","73","78.94%","291.1",""
"51","Mustacheman","706149$3.52%706.1k","-","48","67.34%","289.3",""
"85","Faith","705825$3.52%705.8k","-","86","72.34%","289.1",""
"50","Nemsy","695074$3.47%695.1k","-","36","61.36%","284.7",""
"68","Uglyduck","659726$3.29%659.7k","66","77","72.91%","270.2",""
"81","Beltran","632451$3.15%632.5k","68","82","55.28%","259.1",""
"59","Catto","617963$3.08%618.0k","62","75","70.30%","253.1",""
"48","Gatzby","600427$2.99%600.4k","-","54","47.88%","245.9",""
"58","Chameleon","571751$2.85%571.8k","-","51","46.71%","234.2",""
"29","Donaldglover","563556$2.81%563.6k","64","33","75.85%","230.8",""
"75","Sociables","508344$2.53%508.3k","-","81","84.69%","208.2",""
"58","Gutterz","501983$2.50%502.0k","-","54","80.75%","205.6",""
"14","Yolohaloman","460956$2.30%461.0k","60","36","68.51%","188.8",""
"7","Ramzergutsin","257875$1.29%257.9k","57","26","39.69%","105.6",""
"40","Kolde","236160$1.18%236.2k","69","32","32.34%","96.7",""
"99","Faeron","12036$0.06%12.0k","-","99","1.58%","4.9",""
"95","Xinrokh","11425$0.06%11.4k","71","95","5.46%","4.7",""
"7","Puretea","9272$0.05%9.3k","59","14","2.11%","3.8",""
"-","Mkomacine","1787$0.01%1.8k","69","-","0.89%","0.7",""
"-","Doomkon","1312$0.01%1.3k","67","-","0.00%","0.5",""
"97","Retributus","697$0.00%697.0","64","97","0.00%","0.3",""
"96","Geldschulder","248$0.00%248.0","-","96","0.00%","0.1",""
"94","Ismaela","236$0.00%236.0","69","93","0.00%","0.1",""
"-","Estaris","13$0.00%13.0","-","-","0.00%","0.0",""
