"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Nymh","1682111$5.10%1.68m","-","75","65.78%","397.1",""
"74","Pteradactyl","1648479$4.99%1.65m","73","75","66.44%","389.2",""
"80","Scyter","1609802$4.88%1.61m","-","80","61.14%","380.0",""
"79","Effective","1602845$4.86%1.60m","-","77","60.45%","378.4",""
"81","Hereticbabe","1558644$4.72%1.56m","-","83","65.53%","368.0",""
"74","Zoey","1415771$4.29%1.42m","70","79","64.58%","334.2",""
"57","Backstaber","1339107$4.06%1.34m","-","62","56.63%","316.1",""
"71","Valearix","1299331$3.94%1.30m","-","76","49.48%","306.7",""
"66","Menswear","1285316$3.89%1.29m","-","70","60.15%","303.4",""
"54","Parabella","1258982$3.81%1.26m","-","56","47.64%","297.2",""
"58","Saeros","1230294$3.73%1.23m","-","59","51.55%","290.4",""
"48","Sicc","1208186$3.66%1.21m","-","49","62.49%","285.2",""
"59","Korsen","1204559$3.65%1.20m","-","57","58.86%","284.4",""
"53","Ramzergutzin","1164075$3.53%1.16m","-","58","60.61%","274.8",""
"58","Fourtywinks","1160662$3.52%1.16m","-","61","50.45%","274.0",""
"56","Gatzby","1160406$3.52%1.16m","-","61","62.69%","273.9",""
"57","Kayumi","1124435$3.41%1.12m","65","76","60.86%","265.4",""
"47","Quel","1098189$3.33%1.10m","-","46","64.03%","259.3",""
"87","Beltran","1030816$3.12%1.03m","-","89","60.66%","243.3",""
"64","Moty","1020488$3.09%1.02m","-","69","45.62%","240.9",""
"65","Ezpk","1007232$3.05%1.01m","-","68","55.28%","237.8",""
"71","Faith","933977$2.83%934.0k","74","66","62.65%","220.5",""
"65","Chameleon","807725$2.45%807.7k","-","67","43.46%","190.7",""
"71","Gutterz","803630$2.43%803.6k","74","74","56.92%","189.7",""
"50","Nemsy","779572$2.36%779.6k","-","51","41.34%","184.0",""
"54","Lahk","727603$2.20%727.6k","-","62","33.49%","171.8",""
"76","Shagy","708810$2.15%708.8k","-","77","48.34%","167.3",""
"70","Catto","671617$2.03%671.6k","-","67","53.99%","158.5",""
"40","Colde","350853$1.06%350.9k","-","40","41.82%","82.8",""
"95","Xinrokh","31160$0.09%31.2k","75","95","6.76%","7.4",""
"98","Estaris","16073$0.05%16.1k","72","98","3.13%","3.8",""
"95","Doomkon","12139$0.04%12.1k","-","95","1.72%","2.9",""
"91","Mkomacine","11937$0.04%11.9k","-","91","1.82%","2.8",""
"79","Jahlia","11279$0.03%11.3k","69","81","2.00%","2.7",""
"93","Retributus","9744$0.03%9.7k","-","94","1.71%","2.3",""
"94","Aconites","7878$0.02%7.9k","72","94","0.83%","1.9",""
"76","Faeron","6932$0.02%6.9k","-","77","0.95%","1.6",""
"40","Ðëv","2021$0.01%2.0k","-","52","0.68%","0.5",""
"93","Ismaela","1668$0.01%1.7k","-","93","0.00%","0.4",""
"-","Archanphel","16$0.00%16.0","15","-","0.00%","0.0",""
"-","Chèéser","8$0.00%8.0","-","-","0.00%","0.0",""
