"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"67","Shagy","1436661$5.45%1.44m","-","65","70.57%","403.9",""
"74","Parabella","1389658$5.27%1.39m","-","73","64.80%","390.7",""
"62","Saeros","1211561$4.59%1.21m","-","59","59.21%","340.6",""
"56","Backstaber","1173007$4.45%1.17m","67","69","61.54%","329.8",""
"65","Scyter","1170379$4.44%1.17m","68","73","57.59%","329.0",""
"54","Fourty","1120764$4.25%1.12m","-","55","68.13%","315.1",""
"53","Hereticbabe","1089191$4.13%1.09m","-","53","65.32%","306.2",""
"59","Nymh","1078077$4.09%1.08m","-","63","61.34%","303.1",""
"53","Pteradactyl","1044796$3.96%1.04m","-","65","57.72%","293.7",""
"40","Mustacheman","982337$3.73%982.3k","-","46","61.26%","276.2",""
"44","Quel","945070$3.58%945.1k","-","53","60.91%","265.7",""
"52","Menswear","934314$3.54%934.3k","-","44","47.31%","262.7",""
"69","Ezpk","932262$3.54%932.3k","-","71","65.09%","262.1",""
"67","Chocobos","914733$3.47%914.7k","-","63","60.55%","257.2",""
"83","Beltran","871686$3.31%871.7k","68","87","50.67%","245.1",""
"19","Zoey","871601$3.31%871.6k","-","28","55.16%","245.0",""
"51","Nemsy","798586$3.03%798.6k","-","46","51.08%","224.5",""
"48","Gatzby","794128$3.01%794.1k","-","48","43.73%","223.3",""
"24","Donaldglover","760890$2.89%760.9k","60","42","71.95%","213.9",""
"66","Sociables","760161$2.88%760.2k","-","73","77.74%","213.7",""
"60","Chameleon","747179$2.83%747.2k","-","60","46.15%","210.1",""
"30","Jawnathanx","730462$2.77%730.5k","58","67","55.21%","205.4",""
"58","Gutterz","719324$2.73%719.3k","-","56","68.10%","202.2",""
"15","Oznob","703378$2.67%703.4k","-","14","46.33%","197.7",""
"47","Faith","702690$2.66%702.7k","-","52","56.72%","197.5",""
"43","Ramzergutzin","694927$2.64%694.9k","-","41","68.90%","195.4",""
"64","Catt","578480$2.19%578.5k","-","65","49.66%","162.6",""
"7","Mosaic","528738$2.01%528.7k","-","50","52.21%","148.6",""
"53","Kolde","381023$1.44%381.0k","-","59","46.75%","107.1",""
"46","Effective","231650$0.88%231.7k","-","41","15.28%","65.1",""
"95","Estaris","45535$0.17%45.5k","-","95","2.83%","12.8",""
"94","Mkomacine","8102$0.03%8.1k","-","94","0.00%","2.3",""
"90","Doomkon","7453$0.03%7.5k","66","90","0.00%","2.1",""
"86","Retributus","4056$0.02%4.1k","-","87","0.00%","1.1",""
"-","Xinrokh","3652$0.01%3.7k","-","-","0.66%","1.0",""
"-","Sanguinius","2058$0.01%2.1k","-","-","0.00%","0.6",""
"95","Geldschulder","322$0.00%322.0","-","95","0.00%","0.1",""
"75","Faeron","138$0.00%138.0","-","78","0.00%","0.0",""
