"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"85","Effective","1236091$5.69%1.24m","-","83","78.01%","521.8",""
"93","Scyter","1172090$5.40%1.17m","-","93","67.98%","494.8",""
"81","Korsen","1036855$4.77%1.04m","-","78","76.82%","437.7",""
"79","Saeros","1003407$4.62%1.00m","-","78","71.07%","423.6",""
"79","Backstaber","1000625$4.61%1.00m","-","76","66.03%","422.4",""
"72","Fourtywinks","979587$4.51%979.6k","-","72","73.85%","413.5",""
"74","Moty","968230$4.46%968.2k","-","74","76.16%","408.8",""
"73","Hereticbabe","951043$4.38%951.0k","-","70","75.09%","401.5",""
"54","Nymh","924181$4.25%924.2k","-","55","73.63%","390.2",""
"77","Parabella","915799$4.22%915.8k","-","76","63.49%","386.6",""
"65","Pteradactyl","907259$4.18%907.3k","72","64","69.81%","383.0",""
"69","Quel","846733$3.90%846.7k","-","71","72.60%","357.5",""
"81","Nemsy","773743$3.56%773.7k","-","79","64.35%","326.6",""
"62","Zoey","770624$3.55%770.6k","-","63","62.13%","325.3",""
"93","Beltran","766219$3.53%766.2k","-","90","66.35%","323.5",""
"85","Ezpk","758297$3.49%758.3k","-","85","69.14%","320.1",""
"45","Gatzby","753886$3.47%753.9k","-","48","65.02%","318.3",""
"79","Gutterz","746559$3.44%746.6k","-","76","78.46%","315.2",""
"48","Ramzergutzin","724002$3.33%724.0k","-","44","73.81%","305.6",""
"75","Chameleon","653060$3.01%653.1k","-","74","64.19%","275.7",""
"57","Catto","612620$2.82%612.6k","-","54","71.17%","258.6",""
"32","Valearix","584943$2.69%584.9k","-","30","54.81%","246.9",""
"30","Sicc","565635$2.60%565.6k","71","30","60.79%","238.8",""
"62","Shagy","558036$2.57%558.0k","-","61","73.55%","235.6",""
"58","Lahk","548356$2.52%548.4k","-","65","48.51%","231.5",""
"60","Faith","497620$2.29%497.6k","-","51","55.23%","210.1",""
"37","Colde","317920$1.46%317.9k","-","38","53.62%","134.2",""
"-","Estaris","31223$0.14%31.2k","-","-","2.78%","13.2",""
"36","Aconites","30420$0.14%30.4k","-","35","1.99%","12.8",""
"-","Jahlia","25415$0.12%25.4k","-","-","0.00%","10.7",""
"95","Doomkon","20171$0.09%20.2k","-","95","0.81%","8.5",""
"96","Retributus","18055$0.08%18.1k","-","96","0.00%","7.6",""
"95","Ismaela","12632$0.06%12.6k","-","96","0.00%","5.3",""
"94","Mkomacine","8790$0.04%8.8k","-","94","0.00%","3.7",""
"71","Faeron","3499$0.02%3.5k","-","72","0.00%","1.5",""
