"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Zoey","1646634$5.26%1.65m","-","79","69.22%","397.1",""
"75","Pteradactyl","1613815$5.16%1.61m","-","73","72.09%","389.2",""
"82","Scyter","1581055$5.05%1.58m","-","84","66.19%","381.3",""
"54","Nymh","1478836$4.73%1.48m","-","49","66.46%","356.7",""
"61","Parabella","1434877$4.59%1.43m","-","62","61.49%","346.1",""
"67","Backstaber","1431749$4.58%1.43m","-","67","63.76%","345.3",""
"70","Moty","1415298$4.52%1.42m","-","74","62.57%","341.3",""
"54","Saeros","1388149$4.44%1.39m","-","50","65.80%","334.8",""
"62","Kayumi","1379221$4.41%1.38m","75","59","69.15%","332.6",""
"63","Fourtywinks","1320068$4.22%1.32m","-","67","59.55%","318.4",""
"62","Valearix","1272080$4.06%1.27m","-","68","59.03%","306.8",""
"54","Skrewed","1187962$3.80%1.19m","-","60","55.93%","286.5",""
"36","Sicc","1161503$3.71%1.16m","-","36","66.77%","280.1",""
"67","Shagy","1090025$3.48%1.09m","-","64","73.86%","262.9",""
"63","Catzby","1055367$3.37%1.06m","-","70","65.79%","254.5",""
"43","Quel","1023399$3.27%1.02m","-","41","62.58%","246.8",""
"84","Beltran","1019014$3.26%1.02m","-","81","54.88%","245.8",""
"63","Nemsy","988147$3.16%988.1k","-","61","55.19%","238.3",""
"46","Ramzergutzin","978834$3.13%978.8k","-","51","63.13%","236.1",""
"72","Faith","914674$2.92%914.7k","-","68","58.52%","220.6",""
"69","Gutterz","885080$2.83%885.1k","-","69","63.64%","213.5",""
"70","Chameleon","877505$2.80%877.5k","-","65","52.21%","211.6",""
"45","Myste","870594$2.78%870.6k","-","53","63.36%","210.0",""
"76","Catto","823745$2.63%823.7k","-","80","60.35%","198.7",""
"66","Effective","769047$2.46%769.0k","-","65","29.64%","185.5",""
"46","Lahk","599412$1.92%599.4k","-","41","31.04%","144.6",""
"29","Mgcraisin","529685$1.69%529.7k","-","35","51.18%","127.7",""
"50","Colde","407029$1.30%407.0k","-","41","43.30%","98.2",""
"90","Xinrokh","26905$0.09%26.9k","76","90","6.55%","6.5",""
"94","Aconites","17722$0.06%17.7k","-","95","2.39%","4.3",""
"87","Doomkon","15627$0.05%15.6k","-","87","2.85%","3.8",""
"92","Faeron","14588$0.05%14.6k","-","92","1.23%","3.5",""
"70","Mkomacine","14175$0.05%14.2k","-","70","2.74%","3.4",""
"82","Ðëv","13538$0.04%13.5k","-","85","2.77%","3.3",""
"63","Tate","11966$0.04%12.0k","-","63","2.56%","2.9",""
"79","Ismaela","10286$0.03%10.3k","-","79","3.22%","2.5",""
"85","Retributus","9279$0.03%9.3k","-","86","1.64%","2.2",""
"81","Estaris","8037$0.03%8.0k","-","79","2.12%","1.9",""
"-","Kipper","4579$0.01%4.6k","70","-","0.00%","1.1",""
"57","Jahlia","4174$0.01%4.2k","-","55","0.59%","1.0",""
