"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"92","Quel","1221078$6.49%1.22m","-","90","77.67%","544.2",""
"89","Saeros","1010386$5.37%1.01m","-","82","70.18%","450.3",""
"88","Backstaber","972313$5.17%972.3k","74","82","73.06%","433.3",""
"79","Fourtywinks","971524$5.17%971.5k","-","73","74.99%","433.0",""
"83","Effective","940532$5.00%940.5k","-","78","82.80%","419.1",""
"76","Moty","901993$4.80%902.0k","73","69","75.71%","402.0",""
"76","Shagy","886455$4.71%886.5k","-","72","76.53%","395.0",""
"74","Pteradactyl","885507$4.71%885.5k","73","66","67.31%","394.6",""
"70","Kayumi","821759$4.37%821.8k","-","71","66.19%","366.2",""
"77","Kimpossible","749829$3.99%749.8k","68","79","62.84%","334.2",""
"83","Gutterz","698203$3.71%698.2k","-","80","83.53%","311.1",""
"67","Nemsy","660983$3.52%661.0k","73","52","53.20%","294.6",""
"63","Ramzergutzin","654486$3.48%654.5k","67","59","64.00%","291.7",""
"77","Catto","643320$3.42%643.3k","-","76","75.72%","286.7",""
"69","Cbeastwood","630309$3.35%630.3k","-","75","77.58%","280.9",""
"72","Parabella","613711$3.26%613.7k","74","61","52.68%","273.5",""
"52","Sicc","596062$3.17%596.1k","73","44","59.66%","265.6",""
"70","Catzby","578979$3.08%579.0k","67","76","50.13%","258.0",""
"40","Blacklace","566749$3.01%566.7k","62","69","62.67%","252.6",""
"95","Beltran","565763$3.01%565.8k","-","88","55.45%","252.1",""
"47","Lahk","501777$2.67%501.8k","71","36","37.89%","223.6",""
"43","Valearix","497317$2.64%497.3k","69","40","48.90%","221.6",""
"27","Saiter","491097$2.61%491.1k","58","64","57.27%","218.9",""
"70","Faith","490924$2.61%490.9k","75","49","62.82%","218.8",""
"56","Chameleon","490587$2.61%490.6k","-","42","43.38%","218.6",""
"28","Hereticmie","447178$2.38%447.2k","59","68","66.19%","199.3",""
"48","Colde","259447$1.38%259.4k","71","36","46.53%","115.6",""
"72","Xinrokh","23284$0.12%23.3k","75","72","10.34%","10.4",""
"95","Estaris","14572$0.08%14.6k","70","95","3.76%","6.5",""
"59","Zayá","12309$0.07%12.3k","65","55","1.65%","5.5",""
"92","Harlena","2557$0.01%2.6k","57","93","0.67%","1.1",""
"-","Doomkon","1767$0.01%1.8k","70","-","0.79%","0.8",""
"-","Jahlia","1051$0.01%1.1k","-","-","0.00%","0.5",""
"91","Ismaela","360$0.00%360.0","70","91","0.00%","0.2",""
