"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"86","Parabella","1184935$5.94%1.18m","-","90","70.30%","440.7",""
"62","Araxia","1045106$5.24%1.05m","65","62","72.27%","388.7",""
"68","Effective","976178$4.89%976.2k","63","79","74.00%","363.0",""
"58","Zebulba","923530$4.63%923.5k","-","70","61.19%","343.5",""
"63","Nymh","897119$4.50%897.1k","65","80","57.42%","333.6",""
"62","Harper","859802$4.31%859.8k","-","73","58.66%","319.8",""
"73","Zoey","845144$4.24%845.1k","64","87","51.35%","314.3",""
"51","Eckz","803024$4.02%803.0k","64","57","67.35%","298.6",""
"88","Beltran","791675$3.97%791.7k","66","91","57.16%","294.4",""
"60","Fourty","781556$3.92%781.6k","64","66","65.23%","290.7",""
"79","Chocobos","776058$3.89%776.1k","65","88","50.77%","288.6",""
"84","Eranei","727941$3.65%727.9k","-","88","55.30%","270.7",""
"64","Gatzby","726207$3.64%726.2k","-","80","51.13%","270.1",""
"77","Ezpk","719521$3.61%719.5k","-","78","64.02%","267.6",""
"47","Omegatran","716568$3.59%716.6k","62","66","66.79%","266.5",""
"62","Nemsy","709117$3.55%709.1k","65","79","48.20%","263.7",""
"91","Catt","663421$3.32%663.4k","-","95","55.69%","246.7",""
"66","Lockemup","649254$3.25%649.3k","-","79","45.25%","241.5",""
"30","Shagy","614765$3.08%614.8k","-","36","65.04%","228.6",""
"55","Gutterz","614608$3.08%614.6k","-","56","75.85%","228.6",""
"64","Mgcraisin","610484$3.06%610.5k","-","71","64.81%","227.0",""
"66","Faith","597341$2.99%597.3k","-","73","59.69%","222.2",""
"33","Yuuri","596897$2.99%596.9k","62","65","51.82%","222.0",""
"16","Mustacheman","542617$2.72%542.6k","63","31","64.64%","201.8",""
"22","Parseval","534504$2.68%534.5k","63","45","50.87%","198.8",""
"63","Sociables","455796$2.28%455.8k","-","54","79.20%","169.5",""
"42","Kolde","345442$1.73%345.4k","62","67","46.82%","128.5",""
"32","Ramzergutzin","197101$0.99%197.1k","-","29","21.83%","73.3",""
"94","Xinrokh","22135$0.11%22.1k","67","93","7.71%","8.2",""
"97","Faeron","11489$0.06%11.5k","-","97","3.32%","4.3",""
"49","Estaris","5091$0.03%5.1k","67","49","2.07%","1.9",""
"94","Doomkon","5017$0.03%5.0k","64","94","0.50%","1.9",""
"91","Harder","2050$0.01%2.1k","-","90","0.57%","0.8",""
"95","Ismaela","1587$0.01%1.6k","66","95","0.00%","0.6",""
"-","Silverhawk","730$0.00%730.0","-","-","0.00%","0.3",""
"-","Alcade","137$0.00%137.0","65","-","0.00%","0.1",""
"-","Shottie","38$0.00%38.0","-","-","0.00%","0.0",""
