"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"89","Effective","816633$5.93%816.6k","-","88","72.80%","423.5",""
"80","Pteradactyl","678932$4.93%678.9k","72","74","65.74%","352.1",""
"71","Korsen","678745$4.93%678.7k","-","68","63.10%","352.0",""
"80","Chameleon","661091$4.80%661.1k","72","72","56.80%","342.8",""
"74","Saeros","656484$4.77%656.5k","-","67","71.38%","340.4",""
"77","Nymh","651526$4.74%651.5k","71","71","61.98%","337.9",""
"80","Fourtywinks","621986$4.52%622.0k","-","91","67.06%","322.5",""
"67","Mustacheman","621146$4.51%621.1k","-","63","67.21%","322.1",""
"81","Zoey","614588$4.47%614.6k","70","77","49.55%","318.7",""
"69","Moty","609169$4.43%609.2k","70","68","67.27%","315.9",""
"87","Chocobos","576812$4.19%576.8k","71","82","60.96%","299.1",""
"60","Quel","544853$3.96%544.9k","-","56","69.17%","282.5",""
"89","Ezpk","510111$3.71%510.1k","-","83","67.77%","264.5",""
"90","Beltran","504261$3.66%504.3k","-","88","56.37%","261.5",""
"80","Catzby","483680$3.52%483.7k","68","82","52.20%","250.8",""
"35","Freezemup","464490$3.38%464.5k","66","47","52.79%","240.9",""
"55","Sicc","458756$3.33%458.8k","67","60","56.14%","237.9",""
"79","Parabella","433242$3.15%433.2k","74","67","45.29%","224.7",""
"54","Valearix","413865$3.01%413.9k","71","48","48.14%","214.6",""
"65","Cbeastwood","402916$2.93%402.9k","66","73","53.39%","208.9",""
"71","Gutterz","388428$2.82%388.4k","-","81","75.55%","201.4",""
"50","Lahk","374549$2.72%374.5k","69","46","37.95%","194.2",""
"53","Culde","366189$2.66%366.2k","66","62","50.27%","189.9",""
"59","Ramzergutzin","364592$2.65%364.6k","-","68","71.87%","189.1",""
"40","Catto","320751$2.33%320.8k","70","34","68.44%","166.3",""
"12","Saiter","310849$2.26%310.8k","55","46","43.51%","161.2",""
"9","Faithfortis","141817$1.03%141.8k","65","8","40.56%","73.5",""
"96","Shagi","40588$0.29%40.6k","67","97","11.87%","21.0",""
"94","Doomkon","20574$0.15%20.6k","69","94","3.59%","10.7",""
"98","Retributus","11851$0.09%11.9k","66","98","7.33%","6.1",""
"96","Xinrokh","6781$0.05%6.8k","73","95","3.24%","3.5",""
"-","Faeron","2554$0.02%2.6k","-","-","1.45%","1.3",""
"-","Jahlia","2494$0.02%2.5k","-","-","0.65%","1.3",""
"90","Mkomacine","2088$0.02%2.1k","72","90","0.66%","1.1",""
"92","Ismaela","1260$0.01%1.3k","-","92","0.00%","0.7",""
"90","Estaris","710$0.01%710.0","72","90","0.55%","0.4",""
"-","Tate","201$0.00%201.0","66","-","0.00%","0.1",""
"-","Fundmymount","20$0.00%20.0","-","-","1.35%","0.0",""
"-","Streetmode","16$0.00%16.0","-","-","0.00%","0.0",""
"-","Raimer","16$0.00%16.0","48","-","0.00%","0.0",""
