"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"89","Saeros","1196799$5.55%1.20m","-","87","71.84%","504.8",""
"72","Hereticbabe","1126097$5.22%1.13m","-","70","71.38%","475.0",""
"85","Backstaber","1016855$4.71%1.02m","-","88","64.31%","428.9",""
"71","Fourty","987171$4.57%987.2k","-","69","74.06%","416.4",""
"85","Scyter","973422$4.51%973.4k","-","90","61.91%","410.6",""
"81","Quel","969671$4.49%969.7k","-","78","75.26%","409.0",""
"84","Harper","940107$4.36%940.1k","-","81","61.73%","396.5",""
"67","Nymh","904201$4.19%904.2k","-","66","69.28%","381.4",""
"80","Ramzergutzin","901198$4.18%901.2k","-","76","79.68%","380.1",""
"76","Pteradactyl","897744$4.16%897.7k","65","90","66.00%","378.6",""
"74","Parabella","882027$4.09%882.0k","-","68","68.16%","372.0",""
"64","Shagy","850348$3.94%850.3k","-","62","68.59%","358.7",""
"65","Mustacheman","842443$3.90%842.4k","-","63","70.36%","355.3",""
"73","Zoey","802308$3.72%802.3k","66","85","58.27%","338.4",""
"42","Donaldglover","798084$3.70%798.1k","66","38","78.81%","336.6",""
"54","Valearix","759067$3.52%759.1k","-","71","65.14%","320.2",""
"64","Nemsy","693413$3.21%693.4k","-","60","51.79%","292.5",""
"68","Gatzby","682139$3.16%682.1k","-","75","55.74%","287.7",""
"72","Chocobos","681857$3.16%681.9k","-","69","59.17%","287.6",""
"46","Catto","672752$3.12%672.8k","-","52","69.26%","283.7",""
"80","Gutterz","643815$2.98%643.8k","-","85","78.23%","271.5",""
"75","Ezpk","640175$2.97%640.2k","-","70","68.37%","270.0",""
"70","Faith","584163$2.71%584.2k","-","75","59.39%","246.4",""
"84","Beltran","550439$2.55%550.4k","-","87","58.33%","232.2",""
"51","Chameleon","530391$2.46%530.4k","-","48","51.84%","223.7",""
"44","Sociables","428653$1.99%428.7k","-","63","66.49%","180.8",""
"10","Xenôs","285261$1.32%285.3k","-","36","63.14%","120.3",""
"76","Effective","246125$1.14%246.1k","-","72","19.66%","103.8",""
"-","Aconites","20227$0.09%20.2k","-","-","0.84%","8.5",""
"93","Retributus","19479$0.09%19.5k","-","93","1.00%","8.2",""
"91","Ismaela","18419$0.09%18.4k","-","91","1.17%","7.8",""
"92","Estaris","14268$0.07%14.3k","-","91","1.11%","6.0",""
"96","Mkomacine","12077$0.06%12.1k","69","96","0.00%","5.1",""
"91","Faeron","3587$0.02%3.6k","69","90","0.00%","1.5",""
"-","Kolde","2948$0.01%2.9k","-","-","2.50%","1.2",""
"-","Jahlia","296$0.00%296.0","-","-","0.00%","0.1",""
