"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"61","Backstaber","1547190$4.81%1.55m","-","68","53.65%","312.4",""
"65","Scyter","1477407$4.60%1.48m","-","67","49.88%","298.3",""
"47","Pteradactyl","1428537$4.44%1.43m","73","46","57.32%","288.5",""
"60","Hereticbabe","1428194$4.44%1.43m","-","63","56.74%","288.4",""
"68","Saeros","1397993$4.35%1.40m","-","70","49.17%","282.3",""
"59","Zoey","1391404$4.33%1.39m","70","64","56.25%","281.0",""
"67","Parabella","1382930$4.30%1.38m","-","70","49.48%","279.3",""
"67","Effective","1325219$4.12%1.33m","-","64","52.86%","267.6",""
"47","Valearix","1280535$3.98%1.28m","-","52","46.69%","258.6",""
"51","Menswear","1223786$3.81%1.22m","70","56","53.13%","247.1",""
"49","Korsen","1199828$3.73%1.20m","-","50","49.24%","242.3",""
"42","Ramzergutzin","1188956$3.70%1.19m","-","47","56.82%","240.1",""
"44","Moty","1185182$3.69%1.19m","-","48","47.74%","239.3",""
"48","Nymh","1164087$3.62%1.16m","73","47","46.49%","235.1",""
"44","Fourtywinks","1144259$3.56%1.14m","-","49","45.66%","231.1",""
"55","Quel","1088134$3.39%1.09m","-","57","62.83%","219.7",""
"26","Sicc","1045604$3.25%1.05m","72","27","52.86%","211.1",""
"43","Kayumi","1028184$3.20%1.03m","65","67","56.84%","207.6",""
"67","Ezpk","1021052$3.18%1.02m","-","71","52.16%","206.2",""
"80","Beltran","1005934$3.13%1.01m","-","81","55.29%","203.1",""
"68","Nemsy","985246$3.07%985.2k","-","69","38.83%","198.9",""
"56","Faith","937253$2.92%937.3k","-","52","50.68%","189.3",""
"57","Chameleon","923667$2.87%923.7k","-","57","40.58%","186.5",""
"33","Gatzby","918962$2.86%919.0k","70","39","50.07%","185.6",""
"49","Lahk","756406$2.35%756.4k","-","55","29.12%","152.7",""
"64","Shagy","738356$2.30%738.4k","-","63","53.17%","149.1",""
"56","Catto","720477$2.24%720.5k","-","52","46.03%","145.5",""
"68","Gutterz","646890$2.01%646.9k","74","71","46.02%","130.6",""
"38","Colde","448427$1.40%448.4k","-","38","44.44%","90.6",""
"77","Xinrokh","18237$0.06%18.2k","75","74","3.38%","3.7",""
"87","Retributus","14688$0.05%14.7k","-","89","3.26%","3.0",""
"83","Faeron","14021$0.04%14.0k","-","82","1.44%","2.8",""
"82","Estaris","13356$0.04%13.4k","72","82","1.74%","2.7",""
"77","Jahlia","12279$0.04%12.3k","-","77","2.09%","2.5",""
"73","Ismaela","10946$0.03%10.9k","-","74","2.33%","2.2",""
"74","Aconites","8762$0.03%8.8k","72","73","1.13%","1.8",""
"63","Doomkon","7580$0.02%7.6k","69","65","0.92%","1.5",""
"55","Mkomacine","6937$0.02%6.9k","-","53","2.34%","1.4",""
"38","Ðëv","3006$0.01%3.0k","-","60","0.83%","0.6",""
"19","Tate","1479$0.00%1.5k","70","22","0.00%","0.3",""
