"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"90","Shagy","1077336$6.34%1.08m","-","90","77.68%","547.7",""
"88","Scyter","916839$5.40%916.8k","-","93","76.17%","466.1",""
"90","Saeros","887695$5.23%887.7k","72","86","70.48%","451.3",""
"80","Fourty","795929$4.69%795.9k","-","83","75.00%","404.7",""
"65","Effective","773062$4.55%773.1k","-","59","70.92%","393.0",""
"70","Backstaber","749998$4.42%750.0k","67","79","74.63%","381.3",""
"67","Quel","705658$4.15%705.7k","-","76","71.72%","358.8",""
"83","Chocobos","692812$4.08%692.8k","71","78","54.71%","352.2",""
"56","Mustacheman","669737$3.94%669.7k","-","54","76.26%","340.5",""
"64","Parabella","661069$3.89%661.1k","72","55","69.39%","336.1",""
"63","Nymh","655883$3.86%655.9k","70","56","62.43%","333.5",""
"81","Ezpk","642618$3.78%642.6k","71","78","80.11%","326.7",""
"74","Nemsy","631196$3.72%631.2k","71","66","63.47%","320.9",""
"64","Zoey","629568$3.71%629.6k","66","75","57.99%","320.1",""
"59","Pteradactyl","629120$3.70%629.1k","67","68","66.53%","319.9",""
"91","Beltran","587966$3.46%588.0k","68","93","60.34%","298.9",""
"87","Sociables","583882$3.44%583.9k","-","91","86.41%","296.9",""
"77","Faith","554838$3.27%554.8k","-","78","73.87%","282.1",""
"37","Jsyk","532756$3.14%532.8k","63","61","64.84%","270.9",""
"72","Gutterz","528869$3.11%528.9k","-","74","80.34%","268.9",""
"42","Jawnathanx","518301$3.05%518.3k","59","76","72.47%","263.5",""
"55","Ramzergutzin","509947$3.00%509.9k","-","51","74.65%","259.3",""
"64","Chameleon","500189$2.94%500.2k","69","62","46.17%","254.3",""
"41","Catto","498686$2.94%498.7k","61","66","71.09%","253.5",""
"19","Wof","404130$2.38%404.1k","-","53","59.65%","205.5",""
"15","Donaldglover","308636$1.82%308.6k","63","18","66.41%","156.9",""
"60","Kolde","301098$1.77%301.1k","69","52","43.29%","153.1",""
"94","Xinrokh","9940$0.06%9.9k","69","94","5.00%","5.1",""
"99","Faeron","9129$0.05%9.1k","-","100","2.76%","4.6",""
"91","Estaris","7950$0.05%8.0k","70","92","1.31%","4.0",""
"89","Mkomacine","3722$0.02%3.7k","70","88","2.16%","1.9",""
"-","Doomkon","2065$0.01%2.1k","66","-","1.07%","1.0",""
"-","Imroaming","716$0.00%716.0","51","-","0.00%","0.4",""
"-","Aleve","700$0.00%700.0","45","-","0.00%","0.4",""
"-","Roamingtoo","680$0.00%680.0","56","-","0.00%","0.3",""
"96","Retributus","574$0.00%574.0","65","96","0.00%","0.3",""
"-","Gatzbi","500$0.00%500.0","65","-","0.00%","0.3",""
"-","Geldschulder","308$0.00%308.0","69","-","0.00%","0.2",""
"-","Benniganz","293$0.00%293.0","27","-","0.00%","0.1",""
"-","Ismaela","20$0.00%20.0","69","-","0.00%","0.0",""
