"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"98","Effective","1106116$5.42%1.11m","-","98","79.93%","703.0",""
"97","Backstaber","1006319$4.93%1.01m","-","97","67.38%","639.6",""
"92","Shagy","999397$4.90%999.4k","66","91","77.20%","635.2",""
"98","Saeros","950314$4.66%950.3k","-","98","67.26%","604.0",""
"94","Korsen","888615$4.35%888.6k","-","93","68.18%","564.8",""
"85","Hereticbabe","836126$4.10%836.1k","-","83","71.87%","531.4",""
"92","Parabella","834527$4.09%834.5k","-","89","71.77%","530.4",""
"94","Fourtywinks","798554$3.91%798.6k","-","97","70.99%","507.5",""
"93","Quel","792571$3.88%792.6k","-","92","71.93%","503.7",""
"93","Harper","790541$3.87%790.5k","-","93","70.24%","502.4",""
"90","Scyter","738919$3.62%738.9k","-","89","56.54%","469.6",""
"90","Mustacheman","737093$3.61%737.1k","-","89","70.74%","468.5",""
"91","Catto","717807$3.52%717.8k","-","90","69.89%","456.2",""
"93","Zoey","709514$3.48%709.5k","-","93","62.36%","450.9",""
"90","Valearix","704582$3.45%704.6k","-","90","61.31%","447.8",""
"93","Pteradactyl","689375$3.38%689.4k","-","94","56.10%","438.1",""
"82","Nymh","640438$3.14%640.4k","-","80","68.65%","407.0",""
"87","Ramzergutzin","607205$2.97%607.2k","-","89","73.09%","385.9",""
"97","Nemsy","605374$2.97%605.4k","71","96","52.35%","384.8",""
"97","Ezpk","601876$2.95%601.9k","-","96","59.23%","382.5",""
"97","Sociables","586517$2.87%586.5k","-","97","71.70%","372.8",""
"87","Gatzby","563180$2.76%563.2k","-","86","51.46%","357.9",""
"98","Beltran","539416$2.64%539.4k","-","97","57.77%","342.8",""
"84","Gutterz","533424$2.61%533.4k","-","88","70.79%","339.0",""
"90","Chameleon","481404$2.36%481.4k","-","87","56.38%","306.0",""
"86","Chocobos","477196$2.34%477.2k","-","83","57.15%","303.3",""
"78","Faith","414300$2.03%414.3k","-","72","60.74%","263.3",""
"83","Lahk","404616$1.98%404.6k","-","87","47.37%","257.2",""
"51","Sicc","351561$1.72%351.6k","66","66","39.51%","223.4",""
"48","Kolde","186655$0.91%186.7k","-","43","37.44%","118.6",""
"-","Aconites","26177$0.13%26.2k","-","-","0.84%","16.6",""
"-","Retributus","21740$0.11%21.7k","-","-","0.80%","13.8",""
"96","Xinrokh","20530$0.10%20.5k","-","97","3.35%","13.0",""
"95","Ismaela","13604$0.07%13.6k","-","95","0.00%","8.6",""
"99","Mkomacine","12848$0.06%12.8k","-","99","0.00%","8.2",""
"-","Estaris","10699$0.05%10.7k","-","-","3.33%","6.8",""
"-","Doomkon","7063$0.03%7.1k","-","-","3.76%","4.5",""
"-","Faeron","4023$0.02%4.0k","-","-","0.00%","2.6",""
"85","Amatèrasu","1241$0.01%1.2k","66","85","0.00%","0.8",""
