"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"91","Effective","1717793$5.63%1.72m","-","90","67.32%","499.1",""
"88","Hereticbabe","1485973$4.87%1.49m","-","88","68.52%","431.8",""
"87","Scyter","1387141$4.55%1.39m","-","87","60.85%","403.1",""
"71","Nymh","1383257$4.53%1.38m","72","72","66.65%","401.9",""
"75","Zoey","1362801$4.47%1.36m","-","77","69.35%","396.0",""
"79","Quel","1353199$4.43%1.35m","-","78","72.70%","393.2",""
"81","Backstaber","1329981$4.36%1.33m","-","83","59.60%","386.4",""
"86","Parabella","1246645$4.09%1.25m","-","87","58.51%","362.2",""
"68","Pteradactyl","1242171$4.07%1.24m","-","68","66.85%","360.9",""
"76","Korsen","1240782$4.07%1.24m","-","77","59.67%","360.5",""
"70","Saeros","1147096$3.76%1.15m","-","71","52.31%","333.3",""
"68","Fourtywinks","1104565$3.62%1.10m","-","72","55.06%","320.9",""
"78","Valearix","1098172$3.60%1.10m","-","83","50.01%","319.1",""
"67","Moty","1085316$3.56%1.09m","-","69","56.81%","315.4",""
"67","Kayumi","1056043$3.46%1.06m","-","82","67.78%","306.8",""
"68","Menswear","980965$3.21%981.0k","-","70","61.34%","285.0",""
"37","Sicc","941116$3.08%941.1k","-","39","63.85%","273.5",""
"89","Shagy","930853$3.05%930.9k","-","87","66.88%","270.5",""
"80","Ezpk","912587$2.99%912.6k","-","81","60.19%","265.2",""
"84","Gutterz","905386$2.97%905.4k","-","87","61.32%","263.1",""
"92","Beltran","879097$2.88%879.1k","-","93","62.09%","255.4",""
"52","Gatzby","867096$2.84%867.1k","-","56","61.74%","251.9",""
"84","Catto","802964$2.63%803.0k","-","84","55.63%","233.3",""
"53","Ramzergutzin","794394$2.60%794.4k","-","57","53.90%","230.8",""
"76","Lahk","739382$2.42%739.4k","-","78","41.17%","214.8",""
"70","Chameleon","737623$2.42%737.6k","-","68","56.41%","214.3",""
"65","Nemsy","735021$2.41%735.0k","-","65","46.24%","213.6",""
"57","Faith","675289$2.21%675.3k","-","50","57.33%","196.2",""
"30","Colde","233609$0.77%233.6k","-","30","37.19%","67.9",""
"90","Xinrokh","41345$0.14%41.3k","-","90","9.98%","12.0",""
"91","Faeron","14802$0.05%14.8k","-","91","1.24%","4.3",""
"70","Estaris","14727$0.05%14.7k","-","69","2.75%","4.3",""
"92","Retributus","12951$0.04%13.0k","-","92","1.51%","3.8",""
"88","Aconites","11914$0.04%11.9k","-","88","1.23%","3.5",""
"67","Jahlia","9300$0.03%9.3k","-","66","1.64%","2.7",""
"62","Mkomacine","8299$0.03%8.3k","-","61","1.97%","2.4",""
"74","Doomkon","8049$0.03%8.0k","-","74","1.58%","2.3",""
"71","Ðëv","6172$0.02%6.2k","66","76","1.68%","1.8",""
"94","Ismaela","5970$0.02%6.0k","-","94","0.84%","1.7",""
"54","Tate","5522$0.02%5.5k","-","55","0.76%","1.6",""
