"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"76","Effective","1431701$7.18%1.43m","70","70","78.51%","465.9",""
"76","Pteradactyl","1263459$6.34%1.26m","-","70","66.66%","411.2",""
"79","Saeros","1250362$6.27%1.25m","-","65","73.69%","406.9",""
"80","Kayumi","1190780$5.98%1.19m","75","73","66.90%","387.5",""
"74","Fourtywinks","1179594$5.92%1.18m","-","69","76.29%","383.9",""
"78","Nymh","1072258$5.38%1.07m","-","68","64.19%","348.9",""
"67","Valearix","1044962$5.24%1.04m","-","53","63.81%","340.1",""
"59","Parabella","949823$4.77%949.8k","74","46","64.90%","309.1",""
"54","Sicc","945407$4.74%945.4k","72","51","67.32%","307.7",""
"64","Gutterz","931237$4.67%931.2k","-","57","75.58%","303.0",""
"85","Beltran","884984$4.44%885.0k","-","78","63.84%","288.0",""
"60","Lahk","869612$4.36%869.6k","73","42","54.53%","283.0",""
"61","Catzby","831253$4.17%831.3k","-","58","66.27%","270.5",""
"47","Blacklace","824291$4.14%824.3k","64","70","65.33%","268.2",""
"67","Shagy","773015$3.88%773.0k","-","65","79.50%","251.6",""
"67","Catto","770372$3.87%770.4k","-","62","83.63%","250.7",""
"84","Backstaber","755058$3.79%755.1k","75","75","37.90%","245.7",""
"29","Thara","711373$3.57%711.4k","67","36","64.83%","231.5",""
"41","Chameleon","631019$3.17%631.0k","73","26","42.70%","205.3",""
"42","Kahleia","535454$2.69%535.5k","61","71","45.81%","174.2",""
"44","Colde","445836$2.24%445.8k","-","38","60.32%","145.1",""
"24","Jaequellin","348746$1.75%348.7k","64","48","39.43%","113.5",""
"11","Faithfortis","253705$1.27%253.7k","-","12","55.32%","82.6",""
"95","Estaris","8957$0.04%9.0k","-","95","5.26%","2.9",""
"93","Doomkon","7668$0.04%7.7k","-","93","2.58%","2.5",""
"95","Faeron","6243$0.03%6.2k","-","95","5.19%","2.0",""
"95","Mkomacine","4502$0.02%4.5k","-","95","1.36%","1.5",""
"95","Zayá","3310$0.02%3.3k","65","94","3.17%","1.1",""
"-","Retributus","2001$0.01%2.0k","69","-","0.65%","0.7",""
"89","Ismaela","1301$0.01%1.3k","-","89","0.00%","0.4",""
"-","Lorianne","230$0.00%230.0","64","-","0.00%","0.1",""
