"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"82","Effective","1340831$6.55%1.34m","-","79","83.47%","572.2",""
"88","Fourtywinks","1198736$5.86%1.20m","-","88","73.43%","511.6",""
"87","Moty","1182332$5.78%1.18m","-","87","72.97%","504.6",""
"83","Pteradactyl","1139424$5.57%1.14m","75","81","68.06%","486.2",""
"85","Saeros","1117660$5.46%1.12m","-","82","70.37%","477.0",""
"78","Nymh","1060055$5.18%1.06m","-","74","75.81%","452.4",""
"76","Kayumi","1027605$5.02%1.03m","-","71","65.98%","438.5",""
"78","Backstaber","1006311$4.92%1.01m","-","74","64.29%","429.4",""
"65","Ramzergutzin","962468$4.70%962.5k","-","64","78.69%","410.7",""
"62","Blacklace","894682$4.37%894.7k","-","84","75.96%","381.8",""
"80","Shagy","883833$4.32%883.8k","-","80","84.10%","377.2",""
"83","Catzby","825045$4.03%825.0k","-","90","71.22%","352.1",""
"93","Beltran","822025$4.02%822.0k","-","90","68.09%","350.8",""
"74","Catto","817714$3.99%817.7k","-","77","80.24%","349.0",""
"49","Sicc","767652$3.75%767.7k","-","45","67.76%","327.6",""
"73","Nemsy","687374$3.36%687.4k","72","66","58.70%","293.3",""
"77","Gutterz","680517$3.32%680.5k","-","80","81.42%","290.4",""
"83","Faith","677050$3.31%677.1k","-","79","61.74%","288.9",""
"21","Thara","646669$3.16%646.7k","67","31","73.47%","276.0",""
"67","Fireopal","571764$2.79%571.8k","68","78","59.02%","244.0",""
"65","Lahk","569934$2.78%569.9k","73","56","51.34%","243.2",""
"19","Bellafrost","542113$2.65%542.1k","61","54","65.83%","231.3",""
"59","Chameleon","528134$2.58%528.1k","-","52","52.34%","225.4",""
"39","Colde","332369$1.62%332.4k","-","46","51.91%","141.8",""
"96","Zayá","55714$0.27%55.7k","65","96","11.49%","23.8",""
"-","Aconites","38883$0.19%38.9k","-","-","3.08%","16.6",""
"-","Estaris","38560$0.19%38.6k","-","-","2.93%","16.5",""
"96","Xinrokh","30543$0.15%30.5k","75","96","4.39%","13.0",""
"72","Ismaela","16242$0.08%16.2k","-","72","0.00%","6.9",""
"96","Retributus","8669$0.04%8.7k","-","97","0.00%","3.7",""
"78","Mkomacine","953$0.00%953.0","-","78","0.51%","0.4",""
"-","Faeron","54$0.00%54.0","-","-","0.00%","0.0",""
