"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Saeros","749450$4.59%749.5k","67","83","70.01%","400.5",""
"67","Quel","740188$4.54%740.2k","61","81","74.54%","395.6",""
"70","Shagy","729821$4.47%729.8k","65","71","70.45%","390.0",""
"70","Harper","723569$4.43%723.6k","68","75","68.18%","386.7",""
"56","Effective","721168$4.42%721.2k","-","59","71.19%","385.4",""
"66","Zoey","713252$4.37%713.3k","66","76","58.90%","381.2",""
"60","Hereticbabe","704525$4.32%704.5k","-","64","73.66%","376.5",""
"67","Fourty","692255$4.24%692.3k","64","70","72.85%","369.9",""
"67","Parabella","673511$4.13%673.5k","-","72","68.95%","359.9",""
"54","Backstaber","600517$3.68%600.5k","65","72","66.68%","320.9",""
"74","Gatzby","596138$3.65%596.1k","-","83","55.13%","318.6",""
"55","Ramzergutzin","594943$3.65%594.9k","-","53","72.41%","317.9",""
"76","Eranei","567744$3.48%567.7k","66","81","60.42%","303.4",""
"62","Nymh","551474$3.38%551.5k","65","77","63.61%","294.7",""
"71","Chocobos","540401$3.31%540.4k","65","80","60.29%","288.8",""
"39","Mustacheman","539064$3.30%539.1k","67","48","68.80%","288.1",""
"54","Ezie","523782$3.21%523.8k","63","80","64.63%","279.9",""
"69","Faith","515159$3.16%515.2k","67","72","67.91%","275.3",""
"35","Pteradactyl","503979$3.09%504.0k","62","63","59.08%","269.3",""
"39","Eckz","498937$3.06%498.9k","65","39","66.03%","266.6",""
"86","Beltran","494777$3.03%494.8k","66","88","53.22%","264.4",""
"83","Catt","482255$2.95%482.3k","-","91","56.51%","257.7",""
"47","Omegatran","478050$2.93%478.1k","-","63","64.92%","255.5",""
"60","Nemsy","471803$2.89%471.8k","67","69","51.75%","252.1",""
"72","Gutterz","464922$2.85%464.9k","-","67","80.05%","248.5",""
"32","Parseval","453491$2.78%453.5k","66","43","51.00%","242.3",""
"36","Menswear","381839$2.34%381.8k","70","27","42.30%","204.1",""
"59","Sociables","314824$1.93%314.8k","-","67","80.25%","168.2",""
"42","Kolde","278199$1.70%278.2k","64","59","49.53%","148.7",""
"94","Xinrokh","9531$0.06%9.5k","-","94","5.27%","5.1",""
"92","Doomkon","5303$0.03%5.3k","65","93","1.20%","2.8",""
"93","Faeron","2726$0.02%2.7k","-","93","0.00%","1.5",""
"93","Meaftuck","1254$0.01%1.3k","56","93","0.73%","0.7",""
"96","Ismaela","1003$0.01%1.0k","66","96","0.00%","0.5",""
"93","Estaris","870$0.01%870.0","67","93","0.61%","0.5",""
"-","Geldschulder","382$0.00%382.0","64","-","0.00%","0.2",""
"-","Alcade","114$0.00%114.0","66","-","0.00%","0.1",""
