"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"82","Pteradactyl","2246087$6.33%2.25m","-","80","71.34%","434.3",""
"84","Zoey","2148209$6.05%2.15m","-","85","70.25%","415.4",""
"78","Nymh","2120557$5.97%2.12m","-","76","69.04%","410.0",""
"78","Parabella","1911111$5.38%1.91m","-","80","59.07%","369.5",""
"75","Backstaber","1814287$5.11%1.81m","-","73","52.84%","350.8",""
"72","Saeros","1745717$4.92%1.75m","-","69","54.55%","337.6",""
"71","Effective","1736950$4.89%1.74m","-","70","65.59%","335.9",""
"70","Valearix","1711588$4.82%1.71m","-","69","53.46%","331.0",""
"65","Korsen","1646069$4.64%1.65m","-","66","63.73%","318.3",""
"70","Moty","1623167$4.57%1.62m","-","70","54.39%","313.9",""
"66","Fourtywinks","1616778$4.55%1.62m","-","69","52.89%","312.6",""
"65","Kayumi","1598867$4.50%1.60m","76","60","61.12%","309.2",""
"42","Sicc","1422025$4.00%1.42m","-","39","64.88%","275.0",""
"56","Quel","1360852$3.83%1.36m","-","56","63.27%","263.1",""
"39","Ramzergutzin","1238042$3.49%1.24m","-","43","60.32%","239.4",""
"82","Beltran","1221785$3.44%1.22m","-","78","59.81%","236.3",""
"71","Catzby","1193580$3.36%1.19m","-","74","57.77%","230.8",""
"66","Chameleon","1130952$3.19%1.13m","-","60","56.35%","218.7",""
"80","Gutterz","1105018$3.11%1.11m","-","79","55.43%","213.7",""
"69","Catto","945393$2.66%945.4k","-","73","54.45%","182.8",""
"40","Faith","885730$2.49%885.7k","-","33","49.99%","171.3",""
"50","Lahk","869402$2.45%869.4k","-","44","42.15%","168.1",""
"43","Shagy","842461$2.37%842.5k","-","46","51.56%","162.9",""
"45","Mgcraisin","703562$1.98%703.6k","-","48","50.50%","136.0",""
"54","Colde","496602$1.40%496.6k","-","46","42.81%","96.0",""
"88","Xinrokh","31608$0.09%31.6k","76","88","7.72%","6.1",""
"89","Aconites","20013$0.06%20.0k","-","89","2.94%","3.9",""
"77","Tate","19247$0.05%19.2k","-","76","2.05%","3.7",""
"89","Estaris","18409$0.05%18.4k","-","88","2.88%","3.6",""
"87","Ismaela","15451$0.04%15.5k","-","87","3.95%","3.0",""
"83","Faeron","14170$0.04%14.2k","-","84","1.68%","2.7",""
"73","Kipper","13926$0.04%13.9k","70","74","2.29%","2.7",""
"80","Retributus","12066$0.03%12.1k","-","81","1.52%","2.3",""
"76","Doomkon","8057$0.02%8.1k","-","77","1.01%","1.6",""
"60","Jahlia","7677$0.02%7.7k","-","57","1.13%","1.5",""
"57","Mkomacine","7353$0.02%7.4k","-","56","2.69%","1.4",""
"61","Ðëv","5778$0.02%5.8k","69","62","1.77%","1.1",""
