"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"92","Parabella","1242421$6.42%1.24m","-","95","69.21%","473.3",""
"90","Harper","1210352$6.25%1.21m","68","93","70.08%","461.1",""
"82","Shagy","1176002$6.08%1.18m","65","83","74.93%","448.0",""
"86","Saeros","1170103$6.05%1.17m","66","93","76.41%","445.8",""
"65","Quel","1052021$5.44%1.05m","61","81","76.20%","400.8",""
"73","Fourty","1048808$5.42%1.05m","-","78","74.02%","399.6",""
"77","Zoey","974968$5.04%975.0k","-","91","59.38%","371.4",""
"67","Omegatran","920387$4.76%920.4k","-","84","71.22%","350.6",""
"56","Ramzergutzin","843164$4.36%843.2k","-","53","79.13%","321.2",""
"34","Nymh","841317$4.35%841.3k","65","48","62.71%","320.5",""
"88","Eranei","806814$4.17%806.8k","66","93","60.78%","307.4",""
"90","Catt","789411$4.08%789.4k","-","93","64.66%","300.7",""
"72","Chocobos","769983$3.98%770.0k","65","86","60.47%","293.3",""
"55","Nemsy","761908$3.94%761.9k","65","71","57.84%","290.3",""
"65","Menswear","758670$3.92%758.7k","68","68","55.51%","289.0",""
"77","Ezpk","749980$3.87%750.0k","69","78","68.39%","285.7",""
"83","Beltran","738810$3.82%738.8k","66","89","66.46%","281.5",""
"83","Faith","728183$3.76%728.2k","67","86","64.89%","277.4",""
"66","Gutterz","716217$3.70%716.2k","-","64","83.18%","272.9",""
"43","Effective","537739$2.78%537.7k","64","50","45.91%","204.9",""
"58","Sociables","429543$2.22%429.5k","-","62","84.93%","163.6",""
"50","Kolde","397519$2.05%397.5k","64","68","54.48%","151.4",""
"10","Stiehl","331696$1.71%331.7k","57","38","34.75%","126.4",""
"21","Eckz","305869$1.58%305.9k","64","23","35.63%","116.5",""
"94","Xinrokh","18500$0.10%18.5k","68","94","8.91%","7.0",""
"99","Faeron","9284$0.05%9.3k","-","99","1.71%","3.5",""
"90","Harder","6244$0.03%6.2k","59","90","1.53%","2.4",""
"-","Noodled","2756$0.01%2.8k","66","-","0.57%","1.0",""
"-","Glamdrìng","2227$0.01%2.2k","61","-","0.56%","0.8",""
"-","Gurthy","2004$0.01%2.0k","61","-","0.00%","0.8",""
"95","Alcade","1760$0.01%1.8k","65","95","0.95%","0.7",""
"-","Kuraegasm","1591$0.01%1.6k","63","-","0.00%","0.6",""
"93","Ismaela","1494$0.01%1.5k","62","93","0.00%","0.6",""
"-","Silverhawk","1440$0.01%1.4k","64","-","0.00%","0.5",""
"-","Mkomacine","1287$0.01%1.3k","66","-","0.00%","0.5",""
"-","Yuuri","937$0.00%937.0","63","-","0.00%","0.4",""
"95","Hurled","935$0.00%935.0","68","95","0.00%","0.4",""
"-","Lutrin","734$0.00%734.0","60","-","0.00%","0.3",""
"-","Bookhockey","733$0.00%733.0","63","-","0.00%","0.3",""
"-","Cathedral","714$0.00%714.0","62","-","0.00%","0.3",""
"-","Nesingwary","656$0.00%656.0","68","-","0.00%","0.2",""
