"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"63","Parabella","1280221$5.78%1.28m","-","73","71.03%","479.3",""
"48","Shagy","1184988$5.35%1.18m","65","47","74.01%","443.6",""
"50","Zoey","1106087$4.99%1.11m","-","68","55.11%","414.1",""
"45","Nymh","1026673$4.63%1.03m","65","60","57.68%","384.3",""
"48","Araxia","985780$4.45%985.8k","65","47","73.88%","369.0",""
"39","Fourty","891803$4.03%891.8k","-","41","69.46%","333.9",""
"36","Saeros","885170$4.00%885.2k","-","51","60.91%","331.4",""
"39","Zebulba","875316$3.95%875.3k","-","48","53.65%","327.7",""
"29","Eckz","823305$3.72%823.3k","64","30","67.88%","308.2",""
"34","Menswear","807987$3.65%808.0k","-","44","55.46%","302.5",""
"52","Lockemup","806897$3.64%806.9k","-","66","57.53%","302.1",""
"29","Gatzby","798212$3.60%798.2k","-","44","57.22%","298.8",""
"35","Omegatran","782261$3.53%782.3k","-","44","69.26%","292.9",""
"31","Ramzergutzin","762768$3.44%762.8k","66","27","75.53%","285.6",""
"60","Eranei","739713$3.34%739.7k","66","67","61.03%","276.9",""
"35","Harper","738275$3.33%738.3k","-","48","51.50%","276.4",""
"39","Nemsy","716372$3.23%716.4k","65","56","49.01%","268.2",""
"59","Chocobos","709922$3.20%709.9k","65","77","57.89%","265.8",""
"45","Ezpk","708353$3.20%708.4k","69","50","64.35%","265.2",""
"14","Parseval","690916$3.12%690.9k","63","31","53.80%","258.7",""
"52","Beltran","665982$3.01%666.0k","66","60","57.07%","249.3",""
"58","Mgcraisin","623385$2.81%623.4k","-","59","62.80%","233.4",""
"40","Faith","590942$2.67%590.9k","-","49","61.62%","221.2",""
"27","Chameleon","552883$2.50%552.9k","-","52","45.42%","207.0",""
"48","Catt","530256$2.39%530.3k","-","43","59.80%","198.5",""
"28","Gutterz","529171$2.39%529.2k","-","24","74.34%","198.1",""
"28","Effective","453911$2.05%453.9k","63","36","41.69%","169.9",""
"39","Sociables","407185$1.84%407.2k","-","35","82.24%","152.4",""
"29","Kolde","390260$1.76%390.3k","-","44","56.94%","146.1",""
"95","Estaris","24828$0.11%24.8k","67","95","3.99%","9.3",""
"-","Kynsia","18734$0.08%18.7k","-","-","1.18%","7.0",""
"89","Xinrokh","15073$0.07%15.1k","67","89","2.10%","5.6",""
"96","Alcade","12909$0.06%12.9k","65","97","0.00%","4.8",""
"95","Faeron","10514$0.05%10.5k","-","95","0.00%","3.9",""
"95","Mkomacine","2828$0.01%2.8k","66","95","1.30%","1.1",""
"-","Doomkon","1086$0.00%1.1k","-","-","0.00%","0.4",""
"80","Ismaela","651$0.00%651.0","-","83","0.00%","0.2",""
